index,psd,reference,boundary,stable,reference_edge,possible_min,possible_max,uncertainty_aware_comparison,old_edge,old_point_estimate_shift,current_edge,current_point_estimate_shift,ideal_public_rounding_edge,ideal_public_rounding_point_estimate_shift
0,original,input_power,1,True,28423,28423,28423,current_closer,28413,-10,28423,0,28423,0
0,original,input_power,2,True,37389,37389,37389,current_closer,37369,-20,37389,0,37389,0
0,original,input_power,3,True,45295,45295,45295,current_closer,45267,-28,45295,0,45295,0
0,original,input_power,4,True,53350,53350,53350,current_closer,53311,-39,53350,0,53350,0
0,original,input_power,5,True,63104,63104,63104,current_closer,63039,-65,63104,0,63104,0
0,original,input_power,6,True,75221,75221,75221,current_closer,75117,-104,75221,0,75221,0
0,original,input_power,7,True,92364,92364,92364,current_closer,92173,-191,92364,0,92364,0
0,original,input_power,8,True,120621,120621,120621,current_closer,120198,-423,120621,0,120621,0
0,original,input_power,9,True,235465,235465,235465,current_closer,230334,-5131,235465,0,235465,0
0,original,input_power,10,True,1007279,1007279,1007279,current_closer,1007437,158,1007279,0,1007279,0
0,original,input_power,11,True,1020903,1020903,1020903,current_closer,1020960,57,1020903,0,1020903,0
0,original,input_power,12,True,1028846,1028846,1028846,current_closer,1028881,35,1028846,0,1028846,0
0,original,input_power,13,True,1034842,1034842,1034842,current_closer,1034862,20,1034842,0,1034842,0
0,original,input_power,14,True,1039799,1039799,1039799,current_closer,1039810,11,1039799,0,1039799,0
0,original,input_power,15,True,1044326,1044326,1044326,current_closer,1044331,5,1044326,0,1044326,0
1,original,input_power,1,True,28529,28529,28529,current_closer,28520,-9,28529,0,28529,0
1,original,input_power,2,True,37606,37606,37606,current_closer,37590,-16,37606,0,37606,0
1,original,input_power,3,True,45613,45613,45613,current_closer,45585,-28,45613,0,45613,0
1,original,input_power,4,True,53810,53810,53810,current_closer,53771,-39,53810,0,53810,0
1,original,input_power,5,True,63881,63881,63881,current_closer,63808,-73,63881,0,63881,0
1,original,input_power,6,True,76421,76421,76421,current_closer,76312,-109,76421,0,76421,0
1,original,input_power,7,True,94381,94381,94381,current_closer,94197,-184,94381,0,94381,0
1,original,input_power,8,True,125249,125249,125249,current_closer,124814,-435,125249,0,125249,0
1,original,input_power,9,True,318181,318181,318181,current_closer,305887,-12294,318181,0,318181,0
1,original,input_power,10,True,1009429,1009429,1009429,current_closer,1009559,130,1009429,0,1009429,0
1,original,input_power,11,True,1021683,1021683,1021683,current_closer,1021734,51,1021683,0,1021683,0
1,original,input_power,12,True,1029312,1029312,1029312,current_closer,1029342,30,1029312,0,1029312,0
1,original,input_power,13,True,1035132,1035132,1035132,current_closer,1035152,20,1035132,0,1035132,0
1,original,input_power,14,True,1039954,1039954,1039954,current_closer,1039964,10,1039954,0,1039954,0
1,original,input_power,15,True,1044404,1044404,1044404,current_closer,1044409,5,1044404,0,1044404,0
2,original,input_power,1,True,28653,28653,28653,current_closer,28643,-10,28653,0,28653,0
2,original,input_power,2,True,37834,37834,37834,current_closer,37812,-22,37834,0,37834,0
2,original,input_power,3,True,45994,45994,45994,current_closer,45958,-36,45994,0,45994,0
2,original,input_power,4,True,54377,54377,54377,current_closer,54331,-46,54377,0,54377,0
2,original,input_power,5,True,64698,64698,64698,current_closer,64628,-70,64698,0,64698,0
2,original,input_power,6,True,77758,77758,77758,current_closer,77647,-111,77757,-1,77757,-1
2,original,input_power,7,True,96629,96629,96629,current_closer,96425,-204,96629,0,96629,0
2,original,input_power,8,True,130886,130886,130886,current_closer,130366,-520,130886,0,130886,0
2,original,input_power,9,True,963803,963803,963803,current_closer,965848,2045,963803,0,963803,0
2,original,input_power,10,True,1011141,1011141,1011141,current_closer,1011244,103,1011141,0,1011141,0
2,original,input_power,11,True,1022436,1022436,1022436,current_closer,1022491,55,1022436,0,1022436,0
2,original,input_power,12,True,1029740,1029740,1029740,current_closer,1029771,31,1029740,0,1029740,0
2,original,input_power,13,True,1035389,1035389,1035389,current_closer,1035407,18,1035389,0,1035389,0
2,original,input_power,14,True,1040093,1040093,1040093,current_closer,1040103,10,1040093,0,1040093,0
2,original,input_power,15,True,1044478,1044478,1044478,current_closer,1044482,4,1044478,0,1044478,0
