input,point_in_call,local_sample,ntime,template_hash,sample_from_gps_start,fft,original_cpu,direct_cpu_inputs,cpu_double,truncated_pi_direct,direct_complex128,retained_after_newsnr
point-input-01.npz,0,419159,1048576,-4919013833465406451,2760023,35.732984052799786,35.727386474609375,35.73298263549805,35.733063856296305,35.73306385644811,35.732984052799786,True
point-input-01.npz,1,861175,1048576,-4919013833465406451,3202039,25.1404472218883,25.1290225982666,25.140445709228516,25.140430679486602,25.140430678955596,25.14044722188829,True
point-input-01.npz,2,989460,1048576,-4919013833465406451,3330324,37.64408393727736,37.64288330078125,37.64408493041992,37.6445307626336,37.6445307621281,37.644083937277344,True
point-input-02.npz,0,344621,1048576,-4919013833465406451,3457581,40.92035538328922,40.9185905456543,40.92035675048828,40.92029871769877,40.92029871765758,40.92035538328922,True
point-input-03.npz,0,326532,1048576,-2103963572210885324,1887108,13.884014545240907,13.889190673828125,13.884015083312988,13.883926611602869,13.883926611718278,13.884014545240897,True
point-input-04.npz,0,306674,1048576,2357302163257848109,1086962,24.247067421090012,24.226299285888672,24.247068405151367,24.24709983265025,24.247099832528026,24.24706742109,True
point-input-05.npz,0,484954,1048576,2357302163257848109,2825818,33.32594173705688,33.31629943847656,33.3259391784668,33.325883465310866,33.32588346519559,33.32594173705688,True
point-input-05.npz,1,619888,1048576,2357302163257848109,2960752,36.33709527057384,36.28294372558594,36.33709716796875,36.337011838727726,36.33701183796228,36.337095270573826,True
point-input-05.npz,2,656106,1048576,2357302163257848109,2996970,42.98097341874312,43.05550003051758,42.98097610473633,42.98118821312418,42.98118821302735,42.9809734187431,False
point-input-06.npz,0,343582,1048576,-8906768170690694529,343582,46.91569486259516,46.92314147949219,46.91569519042969,46.91570049396227,46.91570049398577,46.915694862595124,True
point-input-06.npz,1,564520,1048576,-8906768170690694529,564520,29.63568213305521,29.65398597717285,29.635679244995117,29.635263903100846,29.635263903071984,29.63568213305521,True
