steps,frequency_index,recurrence_modulus_minus_one,direct_modulus_minus_one,recurrence_phase_error_rad,direct_phase_error_rad,pi_constant_phase_bias_rad,double_cpu_pi_modulus_minus_one,double_cpu_pi_phase_error_rad,double_full_pi_modulus_minus_one,double_full_pi_phase_error_rad
0,150980,1.2636974133783951e-08,1.1030580893134356e-08,-0.00011142505341865712,-1.3386231961508347e-08,-0.00011143540673746902,0.0,-0.00011143540685530004,0.0,-9.966548252547876e-11
512,151492,1.4399897175332299e-05,-2.9379185750855186e-08,-0.00011411471209964014,4.0177358799612743e-10,-0.00011181330399703707,-6.772360450213455e-15,-0.0001118133040890133,-1.9317880628477724e-14,-9.987472221260968e-11
1024,152004,2.9008721053935815e-05,-2.050308567369541e-08,-0.00011753316139801248,-6.320939768650496e-09,-0.00011219120125660511,-1.5210055437364645e-14,-0.00011219120132349993,-3.852473895449293e-14,-1.0008247062294049e-10
1536,152516,4.182668723817784e-05,8.941952067686998e-09,-0.00012059414935374192,-1.2868153770330415e-11,-0.00011256909851617316,-2.3425705819590803e-14,-0.00011256909855597406,-5.750955267558311e-14,-1.0029189027083161e-10
2048,153028,5.5505499607866327e-05,1.2816203209808918e-08,-0.00012380884418789932,1.9266319193811234e-08,-0.00011294699577574121,-3.0753177782116836e-14,-0.00011294699579019176,-7.66053886991358e-14,-1.004999185843582e-10
2560,153540,6.982642930353222e-05,2.544703447959762e-08,-0.00012723986361709214,4.686855506969528e-09,-0.00011332489303530926,-3.8968828164342995e-14,-0.00011332489302470201,-9.348077867343818e-14,-1.0070833501065304e-10
3072,154052,8.403198757567232e-05,-3.407708126790254e-08,-0.00013034871998355955,2.0806254724195004e-09,-0.00011370279029487731,-4.8183679268731794e-14,-0.00011370279025802451,-1.1313172620930345e-13,-1.0091784755347447e-10
3584,154564,9.764282552038317e-05,1.7752837422335688e-08,-0.0001328140129870717,5.623652801603973e-09,-0.00011408068755444536,-5.473399511402022e-14,-0.00011408068749382918,-1.3322676295501878e-13,-1.0112688613623281e-10
4096,155076,0.000111581414452111,2.1698585817020444e-08,-0.000136746189008927,-1.5756327553326543e-08,-0.00011445858481401341,-6.283862319378386e-14,-0.00011445858472795507,-1.5076828674409626e-13,-1.0133696121048357e-10
4608,155588,0.00012509705422569795,2.4195559111817033e-08,-0.00013938960290182524,1.3185164153894175e-08,-0.00011483648207358146,-6.938893903907228e-14,-0.00011483648196146375,-1.680877659282487e-13,-1.0154576107539522e-10
5120,156100,0.00013791688671882518,5.434986238839201e-09,-0.00014276991042514627,8.369412427557202e-10,-0.00011521437933314951,-7.838174553853605e-14,-0.00011521437919524724,-1.872946242542639e-13,-1.0175457490259241e-10
5632,156612,0.00015105020435868255,-3.2344849132392994e-08,-0.00014552602116401644,-2.637984097809522e-09,-0.00011559227659271756,-8.681944052568724e-14,-0.00011559227642987237,-2.0650148258027912e-13,-1.0196321079561627e-10
6144,157124,0.00016554265519386213,7.958597336710227e-09,-0.00014919132448950074,-5.911063671234703e-09,-0.00011597017385228561,-9.43689570931383e-14,-0.00011597017366496983,-2.2459811788166917e-13,-1.0217262550497805e-10
6656,157636,0.00017954987953650026,-1.8070689944416074e-08,-0.0001521180227954075,-1.222335998307761e-08,-0.00011634807111185366,-1.0436096431476471e-13,-0.0001163480708978524,-2.4347190930029683e-13,-1.0238200705791951e-10
7168,158148,0.00019349807236768157,-2.8872895185827474e-09,-0.0001555364802281977,-1.3575538524743715e-09,-0.00011672596837142171,-1.142419492339286e-13,-0.0001167259681313288,-2.62234678416462e-13,-1.0259209376848914e-10
7680,158660,0.00020839483199242004,-4.6404089459883835e-09,-0.00015960304686768996,-3.392605065331909e-08,-0.00011710386563098976,-1.241229341530925e-13,-0.00011710386536510448,-2.7922109069322687e-13,-1.0280176439152462e-10
8192,159172,0.0002214476984332414,2.4480092841727696e-08,-0.00016322965763404553,1.1058607529294133e-10,-0.00011748176289055781,-1.3145040611561853e-13,-0.00011748176259969278,-2.97983859809392e-13,-1.0301105646907605e-10
8704,159684,0.0002346879509858013,2.334310522655869e-09,-0.00016703989670170078,-1.2511840618223553e-09,-0.00011785966015012586,-1.3733458814613186e-13,-0.00011785965983236954,-3.1863400806741993e-13,-1.0322209733950303e-10
9216,160196,0.0002497949467290539,-8.467956558178003e-09,-0.0001697431334716952,-8.79543089669395e-09,-0.00011823755740969391,-1.454392162258955e-13,-0.00011823755706685488,-3.3739677718358507e-13,-1.0343224920202116e-10
9728,160708,0.0002641177333724265,1.3405058396642744e-08,-0.00017310481486732812,-2.9236613423065877e-08,-0.00011861545466926196,-1.532107773982716e-13,-0.00011861545430030978,-3.5638159090467525e-13,-1.0363981556022519e-10
