template_hash,sample_from_gps_start,call,point_in_call,local_sample,max_bin_width,observed_cpu,direct_cpu_inputs,cpu_double,original_cpu,branch_cpu,jax_cpu_batched,jax_cuda_batched
-9148924729587974774,482619,41,0,482619,373479,34.28800582885742,34.29781723022461,34.29788015393894,34.28800582885742,34.28800582885742,34.297821044921875,34.29783630371094
-9148924729587974774,1550665,42,0,770377,373479,32.29454040527344,32.278846740722656,32.2788469311716,32.29454040527344,32.29454040527344,32.278846740722656,32.27888488769531
-9148924729587974774,1589493,42,1,809205,373479,31.004362106323242,30.999454498291016,30.999619633983,31.004362106323242,31.004362106323242,30.999448776245117,30.999465942382812
-9148924729587974774,2560643,43,0,1000067,373479,22.36757469177246,22.359729766845703,22.35967915189697,22.36757469177246,22.36757469177246,22.35972785949707,22.35975456237793
-9021971886188518348,781686,56,0,781686,372461,39.31205368041992,39.31806182861328,39.31777268881933,39.31205368041992,39.31205368041992,39.31806182861328,39.31806564331055
-9021971886188518348,2366329,57,0,805753,372461,32.35203170776367,32.3430290222168,32.34260576249096,32.35203170776367,32.35203170776367,32.34303665161133,32.343021392822266
-9021971886188518348,2709282,58,0,368418,372461,22.30550765991211,22.310768127441406,22.31069029938476,22.30550765991211,22.30550765991211,22.310758590698242,22.310758590698242
-8906768170690694529,343582,6,0,343582,369949,46.92314147949219,46.91569519042969,46.91570049396227,46.92314147949219,46.92314147949219,46.91569900512695,46.915714263916016
-8906768170690694529,564520,6,1,564520,369949,29.65398597717285,29.635679244995117,29.635263903100846,29.65398597717285,29.65398597717285,29.635669708251953,29.63568115234375
-8906768170690694529,1812379,7,0,251803,369949,27.227706909179688,27.247678756713867,27.24772610287689,27.227706909179688,27.227706909179688,27.247678756713867,27.247690200805664
-5143657302669703416,830802,27,0,830802,372502,33.587615966796875,33.59646224975586,33.5962871430184,33.587615966796875,33.587615966796875,33.59646224975586,33.596466064453125
-5143657302669703416,886498,27,1,886498,372502,35.90709686279297,35.92868423461914,35.92863815084235,35.90709686279297,35.90709686279297,35.92868423461914,35.92868423461914
-5143657302669703416,3325311,28,0,984447,372502,27.142276763916016,27.16338539123535,27.16373523732868,27.142276763916016,27.142276763916016,27.16338539123535,27.163408279418945
-5143657302669703416,3669932,29,0,556972,372502,33.03082275390625,33.02597427368164,33.025928543185266,33.03082275390625,33.03082275390625,33.02597427368164,33.02599334716797
-4919013833465406451,2760023,1,0,419159,372049,35.727386474609375,35.73298263549805,35.733063856296305,35.727386474609375,35.727386474609375,35.73297882080078,35.73298645019531
-4919013833465406451,3202039,1,1,861175,372049,25.1290225982666,25.140445709228516,25.140430679486602,25.1290225982666,25.1290225982666,25.140439987182617,25.140478134155273
-4919013833465406451,3330324,1,2,989460,372049,37.64288330078125,37.64408493041992,37.6445307626336,37.64288330078125,37.64288330078125,37.644081115722656,37.64409255981445
-4919013833465406451,3457581,2,0,344621,372049,40.9185905456543,40.92035675048828,40.92029871769877,40.9185905456543,40.9185905456543,40.92035675048828,40.920372009277344
-3218241979144544696,564518,12,1,564518,370255,33.39282989501953,33.38505554199219,33.38474070089529,33.39282989501953,33.39282989501953,33.38505172729492,33.38507080078125
-3218241979144544696,1086723,13,0,306435,370255,13.411221504211426,13.422171592712402,13.422306879735135,13.411221504211426,13.411221504211426,13.4221773147583,13.422175407409668
-3218241979144544696,1692470,13,2,912182,370255,23.205303192138672,23.197023391723633,23.197054079040136,23.205303192138672,23.205303192138672,23.197023391723633,23.197050094604492
