shape,n,npoints,dtype,variant,median_ms,q25_ms,q75_ms
short,4096,1,complex64,base,0.017048465088009834,0.017008705375095207,0.017058469044665497
short,4096,1,complex64,malloc,0.018580669226745766,0.018538635534544785,0.018625101074576378
short,4096,1,complex64,malloc1,0.01989716353515784,0.019734872815509636,0.019955604026714962
short,4096,1,complex64,cache,0.02025382903714975,0.02007650521894296,0.020265866381426655
short,4096,1,complex64,numpy,0.02063590412338575,0.020576765139897667,0.020676300240059696
short,4096,2,complex64,base,0.017809898902972538,0.0177794989819328,0.01795350108295679
short,4096,2,complex64,malloc,0.023157995504637558,0.02311822803070148,0.023210071958601475
short,4096,2,complex64,malloc1,0.02145643811672926,0.021416701686879,0.02149050123989582
short,4096,2,complex64,cache,0.021873561975856624,0.02182212968667348,0.021901261061429977
short,4096,2,complex64,numpy,0.022227860366304714,0.022003465952972572,0.022270965079466503
short,4096,5,complex64,base,0.024706567637622356,0.024451098094383877,0.02525960250447194
short,4096,5,complex64,malloc,0.03455913780877987,0.03421713287631671,0.03477119995901982
short,4096,5,complex64,malloc1,0.03888730425387621,0.038458833781381443,0.03910267259925604
short,4096,5,complex64,cache,0.03938757193585237,0.0390826336418589,0.0399526363859574
short,4096,5,complex64,numpy,0.03989953547716141,0.03981337261696657,0.040279600458840534
short,4096,1,complex128,base,0.018026299464205902,0.017950800247490406,0.019966973923146725
short,4096,1,complex128,malloc,0.018276801953713097,0.018147534380356472,0.01857033154616753
short,4096,1,complex128,malloc1,0.021017932643493015,0.020524331678946812,0.02344416764875253
short,4096,1,complex128,cache,0.021103094331920147,0.021060695871710777,0.021140199775497116
short,4096,1,complex128,numpy,0.021873895699779194,0.021555266963938873,0.022789634143312774
short,4096,2,complex128,base,0.02110913240661224,0.02103196457028389,0.02128579653799534
short,4096,2,complex128,malloc,0.022047199308872223,0.02185586684693893,0.022436267075439296
short,4096,2,complex128,malloc1,0.02189560327678919,0.021587366548677288,0.022255931980907917
short,4096,2,complex128,cache,0.022583897225558758,0.02255217016985019,0.023235466020802658
short,4096,2,complex128,numpy,0.023456236037115254,0.023091499072810016,0.023713366438945133
short,4096,5,complex128,base,0.0311547036593159,0.031071567597488563,0.03118676443894704
short,4096,5,complex128,malloc,0.03143323119729757,0.031371437944471836,0.03145659963289897
short,4096,5,complex128,malloc1,0.038500564793745674,0.03845413060237964,0.03854030122359594
short,4096,5,complex128,cache,0.04011959924052159,0.040101228902737304,0.040166700879732765
short,4096,5,complex128,numpy,0.040622567757964134,0.0405624353637298,0.040722397776941456
uniform,1048576,1,complex64,base,2.6387430261820555,2.626935951411724,2.6413779705762863
uniform,1048576,1,complex64,malloc,2.6237600250169635,2.622361993417144,2.6243210304528475
uniform,1048576,1,complex64,malloc1,3.2213954254984856,3.221014980226755,3.2222025329247117
uniform,1048576,1,complex64,cache,3.2231694785878062,3.222212428227067,3.228168934583664
uniform,1048576,1,complex64,numpy,3.2212405931204557,3.219968522898853,3.221681574359536
uniform,1048576,2,complex64,base,2.3752159904688597,2.3731425171718,2.376969438046217
uniform,1048576,2,complex64,malloc,3.3473779913038015,3.345349454320967,3.348660538904369
uniform,1048576,2,complex64,malloc1,3.3670355333015323,3.365322481840849,3.3683229703456163
uniform,1048576,2,complex64,cache,3.366409451700747,3.3636840526014566,3.368688514456153
uniform,1048576,2,complex64,numpy,3.364064497873187,3.3635339932516217,3.3656975720077753
uniform,1048576,5,complex64,base,3.4938494209200144,3.4926969092339277,3.494380507618189
uniform,1048576,5,complex64,malloc,5.598956486210227,5.598044954240322,5.6009499821811914
uniform,1048576,5,complex64,malloc1,7.193942554295063,7.193506462499499,7.196472492069006
uniform,1048576,5,complex64,cache,7.133929058909416,7.129816571250558,7.138132001273334
uniform,1048576,5,complex64,numpy,7.134540472179651,7.130227517336607,7.1404369082301855
uniform,1048576,1,complex128,base,2.357492921873927,2.355038421228528,2.3595719831064343
uniform,1048576,1,complex128,malloc,2.2761294385418296,2.275363076478243,2.280087093822658
uniform,1048576,1,complex128,malloc1,3.280582488514483,3.275097464211285,3.286969498731196
uniform,1048576,1,complex128,cache,3.2981405965983868,3.295355010777712,3.299943986348808
uniform,1048576,1,complex128,numpy,3.2905314583331347,3.2855719327926636,3.294488531537354
uniform,1048576,2,complex128,base,3.056830959394574,3.056539921090007,3.0576575081795454
