case,scheme,mode,event,symbol,shared_object,self_event_percent,samples,event_period,extra_columns,classification
reference-precision5-cpu-l512-perf,cpu:1,perf,cycles:u,[.] Frz_inflate_fast,libframel-9cd69e87.so.8.43.1,14.32,876,11106064383,"{""IPC"":""-"",""[IPC Coverage]"":""-""}",unassigned native symbol; no unique pipeline attribution
reference-precision5-cpu-l512-perf,cpu:1,perf,cycles:u,[.] mkl_dft_def_owns_cRadix4Inv_32fc,libmkl_def.so,9.51,562,7377822917,"{""IPC"":""-"",""[IPC Coverage]"":""-""}",FFT symbol (symbol-name evidence)
reference-precision5-cpu-l512-perf,cpu:1,perf,cycles:u,"[.] __pyx_fuse_1_0__pyx_pw_5pycbc_6vetoes_9chisq_cpu_25point_chisq_code(_object*, _object*, _object*)",chisq_cpu.cpython-311-x86_64-linux-gnu.so,6.61,401,5128195474,"{""IPC"":""-"",""[IPC Coverage]"":""-""}",unassigned native symbol; no unique pipeline attribution
reference-precision5-cpu-l512-perf,cpu:1,perf,cycles:u,[.] mkl_dft_def_owns_cFftInv_Fact8_32fc,libmkl_def.so,4.61,270,3577680083,"{""IPC"":""-"",""[IPC Coverage]"":""-""}",FFT symbol (symbol-name evidence)
reference-precision5-cpu-l512-perf,cpu:1,perf,cycles:u,[.] mkl_serv_libm_sincospif,libmkl_core.so,4.29,289,3325101315,"{""IPC"":""-"",""[IPC Coverage]"":""-""}",unassigned native symbol; no unique pipeline attribution
reference-precision5-cpu-l512-perf,cpu:1,perf,cycles:u,[.] mkl_dft_def_owns_cFft_BlkMerge_32fc,libmkl_def.so,4.28,254,3320020374,"{""IPC"":""-"",""[IPC Coverage]"":""-""}",FFT symbol (symbol-name evidence)
reference-precision5-cpu-l512-perf,cpu:1,perf,cycles:u,[.] mkl_serv_libm_sincospi,libmkl_core.so,4.22,256,3275562784,"{""IPC"":""-"",""[IPC Coverage]"":""-""}",unassigned native symbol; no unique pipeline attribution
reference-precision5-cpu-l512-perf,cpu:1,perf,cycles:u,[.] mkl_dft_def_owns_cFft_BlkSplit_32fc,libmkl_def.so,4.19,248,3253222106,"{""IPC"":""-"",""[IPC Coverage]"":""-""}",FFT symbol (symbol-name evidence)
reference-precision5-cpu-l512-perf,cpu:1,perf,cycles:u,[.] FrCksumGnu,libframel-9cd69e87.so.8.43.1,3.71,222,2874400300,"{""IPC"":""-"",""[IPC Coverage]"":""-""}",unassigned native symbol; no unique pipeline attribution
reference-precision5-cpu-l512-perf,cpu:1,perf,cycles:u,"[.] _max_simple(float*, float*, float*, long*, long, long)",simd_threshold_cython.cpython-311-x86_64-linux-gnu.so,2.52,147,1953539770,"{""IPC"":""-"",""[IPC Coverage]"":""-""}",unassigned native symbol; no unique pipeline attribution
