case,mode,scheme,segment_length,start_pad,end_pad,templates,segments_per_template,fft_samples,valid_data_seconds,total_template_seconds,qualification,source_phase,source_commit,allocated_cpu_cores,wall_seconds,templates_per_core_at_real_time,internal_runtime_seconds,internal_setup_seconds,internal_postsetup_seconds,peak_rss_mib,user_cpu_seconds,system_cpu_seconds,triggers,receipt
qual-precision5-cpu-l256,qualify,cpu:1,256,112,16,96,15,1048576,1904,182784,runs/qual-precision5-cpu-l256/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,34.30399791098898,5328.358533436324,29.878019094467163,15.368405342102053,14.50961375236511,1206.1328125,31.212902,3.081717,479,runs/qual-precision5-cpu-l256/receipt.json
qual-precision5-cpu-l512,qualify,cpu:1,512,112,16,96,5,2097152,1904,182784,runs/qual-precision5-cpu-l512/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,32.180313760007266,5679.994339494555,27.737947702407837,15.27590036392212,12.462047338485718,1206.1015625,28.982382,3.1843790000000003,475,runs/qual-precision5-cpu-l512/receipt.json
qual-precision5-cpu-l1024,qualify,cpu:1,1024,112,16,96,3,4194304,1904,182784,runs/qual-precision5-cpu-l1024/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,38.73184472200228,4719.21751499139,34.27888464927673,16.05148458480835,18.227400064468384,1206.11328125,35.153438,3.568301,475,runs/qual-precision5-cpu-l1024/receipt.json
tune-precision5-cpu-l256-r1,timing,cpu:1,256,112,16,96,15,1048576,1904,182784,runs/qual-precision5-cpu-l256/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,34.68851129303221,5269.29502554684,30.192585945129395,15.364404678344728,14.828181266784666,1204.65625,31.482259,3.1868939999999997,479,runs/tune-precision5-cpu-l256-r1/receipt.json
tune-precision5-cpu-l512-r1,timing,cpu:1,512,112,16,96,5,2097152,1904,182784,runs/qual-selected5-cpu-l512/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,32.37408933398547,5645.996652270869,27.878557920455933,15.323800563812254,12.554757356643679,1204.671875,29.053123000000003,3.2871710000000003,475,runs/tune-precision5-cpu-l512-r1/receipt.json
tune-precision5-cpu-l1024-r1,timing,cpu:1,1024,112,16,96,3,4194304,1904,182784,runs/qual-precision5-cpu-l1024/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,38.709411565971095,4721.95242979831,34.20849323272705,16.04975199699402,18.158741235733032,1279.26171875,35.09194,3.5914300000000003,475,runs/tune-precision5-cpu-l1024-r1/receipt.json
tune-precision5-cpu-l512-r2,timing,cpu:1,512,112,16,96,5,2097152,1904,182784,runs/qual-selected5-cpu-l512/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,32.31068990501808,5657.075120875471,27.821763515472412,15.265840053558348,12.555923461914064,1204.66015625,29.008183,3.2619209999999996,475,runs/tune-precision5-cpu-l512-r2/receipt.json
tune-precision5-cpu-l1024-r2,timing,cpu:1,1024,112,16,96,3,4194304,1904,182784,runs/qual-precision5-cpu-l1024/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,38.79046103800647,4712.08629928142,34.25386333465576,16.027427434921265,18.226435899734497,1272.8671875,35.125923,3.636654,475,runs/tune-precision5-cpu-l1024-r2/receipt.json
tune-precision5-cpu-l256-r2,timing,cpu:1,256,112,16,96,15,1048576,1904,182784,runs/qual-precision5-cpu-l256/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,34.48284510400845,5300.722705701344,29.97777485847473,15.363353490829468,14.614421367645264,1204.64453125,31.195031,3.262385,479,runs/tune-precision5-cpu-l256-r2/receipt.json
tune-precision5-cpu-l1024-r3,timing,cpu:1,1024,112,16,96,3,4194304,1904,182784,runs/qual-precision5-cpu-l1024/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,38.849843858974054,4704.883774141041,34.329872131347656,16.094849109649658,18.235023021697998,1272.03125,35.225456,3.601483,475,runs/tune-precision5-cpu-l1024-r3/receipt.json
tune-precision5-cpu-l256-r3,timing,cpu:1,256,112,16,96,15,1048576,1904,182784,runs/qual-precision5-cpu-l256/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,34.5539336730144,5289.817412098261,30.03961443901062,15.38273763656616,14.65687680244446,1204.63671875,31.233641000000002,3.250184,479,runs/tune-precision5-cpu-l256-r3/receipt.json
tune-precision5-cpu-l512-r3,timing,cpu:1,512,112,16,96,5,2097152,1904,182784,runs/qual-selected5-cpu-l512/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,32.33664120698813,5652.535117360901,27.833372354507446,15.308806896209719,12.524565458297728,1204.70703125,29.021496000000003,3.273269,475,runs/tune-precision5-cpu-l512-r3/receipt.json
qual-selected5-cpu-l512,qualify,cpu:1,512,112,16,96,5,2097152,1904,182784,runs/qual-selected5-cpu-l512/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,32.289014575013425,5660.872665387745,27.83415722846985,15.29204773902893,12.542109489440918,1206.0625,29.06921,3.2006509999999997,475,runs/qual-selected5-cpu-l512/receipt.json
qual-selected5-torch-cpu-l512,qualify,torch:cpu:1,512,112,16,96,5,2097152,1904,182784,runs/qual-selected5-torch-cpu-l512/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,80.70105550298467,2264.9517885579558,76.21827459335327,15.101120233535767,61.117154359817505,1271.12109375,66.503089,14.161715,475,runs/qual-selected5-torch-cpu-l512/receipt.json
qual-selected5-torch-cuda-l512,qualify,torch:cuda:0,512,112,16,96,5,2097152,1904,182784,runs/qual-selected5-torch-cuda-l512/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,20.358944043982774,8978.068784172678,15.759170532226562,13.478736400604248,2.2804341316223145,1473.21875,16.829006,3.5183120000000003,475,runs/qual-selected5-torch-cuda-l512/receipt.json
reference-precision5-cpu-l512-cprofile,cprofile,cpu:1,512,112,16,96,5,2097152,1904,182784,runs/qual-selected5-cpu-l512/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,35.52709684101865,5144.917999293498,28.157913208007812,15.47470164299011,12.683211565017702,1226.0234375,32.134733000000004,3.3623079999999996,475,runs/reference-precision5-cpu-l512-cprofile/receipt.json
reference-precision5-cpu-l512-perf,perf,cpu:1,512,112,16,96,5,2097152,1904,182784,runs/qual-selected5-cpu-l512/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,35.14671846298734,5200.5993160496055,28.208205461502075,15.475833177566528,12.732372283935547,1204.8359375,30.385523,4.046361,475,runs/reference-precision5-cpu-l512-perf/receipt.json
matched-precision5-cpu-l512-r1,timing,cpu:1,512,112,16,96,5,2097152,1904,182784,runs/qual-selected5-cpu-l512/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,32.30126148002455,5658.726366245343,27.81991744041443,15.313460350036621,12.506457090377808,1204.65234375,29.013970999999998,3.2678360000000004,475,runs/matched-precision5-cpu-l512-r1/receipt.json
matched-precision5-torch-cpu-l512-r1,timing,torch:cpu:1,512,112,16,96,5,2097152,1904,182784,runs/qual-selected5-torch-cpu-l512/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,80.62809046503389,2267.0014748677227,76.05923891067505,15.18839359283447,60.870845317840576,1244.390625,66.333429,14.246691,475,runs/matched-precision5-torch-cpu-l512-r1/receipt.json
matched-precision5-torch-cuda-l512-r1,timing,torch:cuda:0,512,112,16,96,5,2097152,1904,182784,runs/qual-selected5-torch-cuda-l512/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,20.280547540984116,9012.774415021064,15.635687112808228,13.394274234771729,2.2414128780364986,1468.84765625,16.75881,3.505296,475,runs/matched-precision5-torch-cuda-l512-r1/receipt.json
matched-precision5-torch-cpu-l512-r2,timing,torch:cpu:1,512,112,16,96,5,2097152,1904,182784,runs/qual-selected5-torch-cpu-l512/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,79.10774427303113,2310.5702441614617,74.55621695518494,15.081036567687988,59.47518038749695,1229.1953125,66.29816600000001,12.758455999999999,475,runs/matched-precision5-torch-cpu-l512-r2/receipt.json
matched-precision5-torch-cuda-l512-r2,timing,torch:cuda:0,512,112,16,96,5,2097152,1904,182784,runs/qual-selected5-torch-cuda-l512/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,20.335830108029768,8988.273359336645,15.669369220733643,13.391310691833496,2.2780585289001465,1468.98828125,16.763211,3.556912,475,runs/matched-precision5-torch-cuda-l512-r2/receipt.json
matched-precision5-cpu-l512-r2,timing,cpu:1,512,112,16,96,5,2097152,1904,182784,runs/qual-selected5-cpu-l512/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,32.313625084992964,5656.561265386725,27.817997217178345,15.287514209747314,12.53048300743103,1204.6328125,28.957670999999998,3.3349,475,runs/matched-precision5-cpu-l512-r2/receipt.json
matched-precision5-torch-cuda-l512-r3,timing,torch:cuda:0,512,112,16,96,5,2097152,1904,182784,runs/qual-selected5-torch-cuda-l512/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,20.348598457989283,8982.63339253398,15.686301708221436,13.420965433120728,2.2653362751007085,1467.87890625,16.759622,3.5731479999999998,475,runs/matched-precision5-torch-cuda-l512-r3/receipt.json
matched-precision5-cpu-l512-r3,timing,cpu:1,512,112,16,96,5,2097152,1904,182784,runs/qual-selected5-cpu-l512/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,32.3467580860015,5650.767211787516,27.820918083190918,15.269769191741945,12.551148891448973,1204.84765625,29.053339,3.274775,475,runs/matched-precision5-cpu-l512-r3/receipt.json
matched-precision5-torch-cpu-l512-r3,timing,torch:cpu:1,512,112,16,96,5,2097152,1904,182784,runs/qual-selected5-torch-cpu-l512/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,80.72464106802363,2264.2900306732213,76.15410494804382,15.136252641677855,61.01785230636597,1236.62109375,66.460323,14.222932,475,runs/matched-precision5-torch-cpu-l512-r3/receipt.json
profile-precision5-torch-cpu-l512-cprofile,cprofile,torch:cpu:1,512,112,16,96,5,2097152,1904,182784,runs/qual-selected5-torch-cpu-l512/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,83.95478519500466,2177.171909563479,76.52242279052734,15.41504168510437,61.107381105422974,1258.78125,69.942976,13.955684,475,runs/profile-precision5-torch-cpu-l512-cprofile/receipt.json
profile-precision5-torch-cpu-l512-perf,perf,torch:cpu:1,512,112,16,96,5,2097152,1904,182784,runs/qual-selected5-torch-cpu-l512/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,84.21670856996207,2170.40066162351,77.42638111114502,15.391083478927612,62.03529763221741,1212.7421875,68.347168,15.457179,475,runs/profile-precision5-torch-cpu-l512-perf/receipt.json
profile-precision5-torch-cuda-l512-cprofile,cprofile,torch:cuda:0,512,112,16,96,5,2097152,1904,182784,runs/qual-selected5-torch-cuda-l512/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,23.9707644659793,7625.288724496779,16.396774530410767,13.576284408569336,2.8204901218414316,1496.75390625,20.120874,3.820566,475,runs/profile-precision5-torch-cuda-l512-cprofile/receipt.json
profile-precision5-torch-cuda-l512-perf,perf,torch:cuda:0,512,112,16,96,5,2097152,1904,182784,runs/qual-selected5-torch-cuda-l512/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,23.140754660998937,7898.791663353195,15.9139986038208,13.583037853240967,2.330960750579833,1469.2578125,18.059240000000003,4.439316000000001,475,runs/profile-precision5-torch-cuda-l512-perf/receipt.json
profile-precision5-torch-cuda-l512-torchprofile,torchprofile,torch:cuda:0,512,112,16,96,5,2097152,1904,182784,runs/qual-selected5-torch-cuda-l512/qualification.json,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,1,45.19237801298732,4044.575834169908,16.206636667251587,13.206319808959961,3.0003168582916255,2671.93359375,39.723451,5.429665,475,runs/profile-precision5-torch-cuda-l512-torchprofile/receipt.json
