case,scheme,mode,segment_length,start_pad,end_pad,templates,segments_per_template,fft_samples,valid_data_seconds,total_template_seconds,qualification,qualification_signature,allocated_cpu_cores,wall_seconds,user_cpu_seconds,system_cpu_seconds,peak_rss_mib,triggers,templates_per_core_at_real_time,internal_runtime_seconds,internal_setup_seconds,internal_postsetup_seconds,receipt
qual-cpu-l1024-s96,cpu:1,qualify,1024,96,16,96,3,4194304,1904.0,182784.0,runs/qual-cpu-l1024-s96/qualification.json,0da63b9e6bc57193dca2d15aa1dcff67caec880e5b6f8bab0d59db0e888424fe,1,36.6652935470338,33.32611,3.32546,1206.2265625,475,4985.204871345893,32.21485638618469,14.905371904373169,17.30948448181152,runs/qual-cpu-l1024-s96/receipt.json
qual-cpu-l256-s96,cpu:1,qualify,256,96,16,96,14,1048576,1904.0,182784.0,runs/qual-cpu-l256-s96/qualification.json,6949457cecc285517a2bc6b8104043b2db2fd734d88d5c6b54d6226b2ae2214a,1,32.31963049102342,29.282839,3.0261630000000004,1205.95703125,478,5655.510203025593,27.67589569091797,14.49021625518799,13.185679435729979,runs/qual-cpu-l256-s96/receipt.json
qual-cpu-l512-s96,cpu:1,qualify,512,96,16,96,5,2097152,1904.0,182784.0,runs/qual-cpu-l512-s96/qualification.json,40c8498341dc67ae11a0a1f24edf8e8c716434c8843788f023b4b47b706aaf7b,1,31.142413279041648,28.027056,3.105831,1206.23046875,481,5869.29466134247,26.724387168884277,14.501945734024048,12.22244143486023,runs/qual-cpu-l512-s96/receipt.json
qual-v2-cpu-l1024,cpu:1,qualify,1024,112,16,96,3,4194304,1904.0,182784.0,runs/qual-v2-cpu-l1024/qualification.json,80570251fb7e20b29dfb03794621e92f225d87eb09db8dc2c55517f7ba8d99fc,1,36.624661155976355,33.294516,3.314316,1206.23046875,475,4990.7355926533555,32.162829637527466,14.88446593284607,17.278363704681396,runs/qual-v2-cpu-l1024/receipt.json
qual-v2-cpu-l256,cpu:1,qualify,256,112,16,96,15,1048576,1904.0,182784.0,runs/qual-v2-cpu-l256/qualification.json,4539582fcd328d8b0d9ef867755e58c573bd423e2f9710c00d8b48226de5a54b,1,33.16282143595163,30.011605000000003,3.1377360000000003,1206.10546875,478,5511.714386335202,28.718044996261597,14.702232837677,14.015812158584597,runs/qual-v2-cpu-l256/receipt.json
qual-v2-cpu-l512,cpu:1,qualify,512,112,16,96,5,2097152,1904.0,182784.0,runs/qual-v2-cpu-l512/qualification.json,dced9036891ee91b460de6e5e07fbe116f20a03e8eaa67f068d37ab936f66bd2,1,31.148346163972747,28.065773,3.06933,1205.1953125,479,5868.176725588542,26.716989040374756,14.484743595123291,12.232245445251465,runs/qual-v2-cpu-l512/receipt.json
tune-cpu-l1024-r1,cpu:1,timing,1024,112,16,96,3,4194304,1904.0,182784.0,runs/qual-v2-cpu-l1024/qualification.json,80570251fb7e20b29dfb03794621e92f225d87eb09db8dc2c55517f7ba8d99fc,1,36.625725836027414,33.283976,3.324845,1266.90234375,475,4990.590516030182,32.100592374801636,14.817706823348999,17.282885551452637,runs/tune-cpu-l1024-r1/receipt.json
tune-cpu-l1024-r2,cpu:1,timing,1024,112,16,96,3,4194304,1904.0,182784.0,runs/qual-v2-cpu-l1024/qualification.json,80570251fb7e20b29dfb03794621e92f225d87eb09db8dc2c55517f7ba8d99fc,1,36.58358664799016,33.209995,3.354076,1266.55859375,475,4996.3389800666755,32.05800247192383,14.825875043869019,17.23212742805481,runs/tune-cpu-l1024-r2/receipt.json
tune-cpu-l1024-r3,cpu:1,timing,1024,112,16,96,3,4194304,1904.0,182784.0,runs/qual-v2-cpu-l1024/qualification.json,80570251fb7e20b29dfb03794621e92f225d87eb09db8dc2c55517f7ba8d99fc,1,36.65241411898751,33.177992,3.450708,1266.8359375,475,4986.956641017273,32.11822724342346,14.818822145462036,17.299405097961426,runs/tune-cpu-l1024-r3/receipt.json
tune-cpu-l1024-s96-r1,cpu:1,timing,1024,96,16,96,3,4194304,1904.0,182784.0,runs/qual-cpu-l1024-s96/qualification.json,0da63b9e6bc57193dca2d15aa1dcff67caec880e5b6f8bab0d59db0e888424fe,1,36.631909554009326,33.268969,3.347025,1266.19921875,475,4989.748070067357,32.126410245895386,14.85426378250122,17.272146463394165,runs/tune-cpu-l1024-s96-r1/receipt.json
tune-cpu-l1024-s96-r2,cpu:1,timing,1024,96,16,96,3,4194304,1904.0,182784.0,runs/qual-cpu-l1024-s96/qualification.json,0da63b9e6bc57193dca2d15aa1dcff67caec880e5b6f8bab0d59db0e888424fe,1,36.64877101604361,33.205955,3.4265779999999997,1266.66015625,475,4987.4523737776435,32.140586614608765,14.883219718933105,17.25736689567566,runs/tune-cpu-l1024-s96-r2/receipt.json
tune-cpu-l1024-s96-r3,cpu:1,timing,1024,96,16,96,3,4194304,1904.0,182784.0,runs/qual-cpu-l1024-s96/qualification.json,0da63b9e6bc57193dca2d15aa1dcff67caec880e5b6f8bab0d59db0e888424fe,1,36.63368987501599,33.222280999999995,3.392826,1267.8125,475,4989.505578706607,32.12566065788269,14.86579704284668,17.259863615036014,runs/tune-cpu-l1024-s96-r3/receipt.json
tune-cpu-l256-r1,cpu:1,timing,256,112,16,96,15,1048576,1904.0,182784.0,runs/qual-v2-cpu-l256/qualification.json,4539582fcd328d8b0d9ef867755e58c573bd423e2f9710c00d8b48226de5a54b,1,32.9846867150045,29.730114,3.2413790000000002,1204.69140625,478,5541.480553667131,28.477515697479248,14.517188072204592,13.960327625274656,runs/tune-cpu-l256-r1/receipt.json
tune-cpu-l256-r2,cpu:1,timing,256,112,16,96,15,1048576,1904.0,182784.0,runs/qual-v2-cpu-l256/qualification.json,4539582fcd328d8b0d9ef867755e58c573bd423e2f9710c00d8b48226de5a54b,1,32.94291893899208,29.741916,3.1834499999999997,1204.6015625,478,5548.506504189955,28.45280647277832,14.500343561172485,13.952462911605835,runs/tune-cpu-l256-r2/receipt.json
tune-cpu-l256-r3,cpu:1,timing,256,112,16,96,15,1048576,1904.0,182784.0,runs/qual-v2-cpu-l256/qualification.json,4539582fcd328d8b0d9ef867755e58c573bd423e2f9710c00d8b48226de5a54b,1,32.95328768499894,29.708081,3.2233099999999997,1204.8359375,478,5546.760667622469,28.44719672203064,14.497757911682129,13.94943881034851,runs/tune-cpu-l256-r3/receipt.json
tune-cpu-l256-s96-r1,cpu:1,timing,256,96,16,96,14,1048576,1904.0,182784.0,runs/qual-cpu-l256-s96/qualification.json,6949457cecc285517a2bc6b8104043b2db2fd734d88d5c6b54d6226b2ae2214a,1,32.04833690501982,28.850904999999997,3.17993,1204.75390625,478,5703.384875842653,27.55450749397278,14.441172361373901,13.113335132598877,runs/tune-cpu-l256-s96-r1/receipt.json
tune-cpu-l256-s96-r2,cpu:1,timing,256,96,16,96,14,1048576,1904.0,182784.0,runs/qual-cpu-l256-s96/qualification.json,6949457cecc285517a2bc6b8104043b2db2fd734d88d5c6b54d6226b2ae2214a,1,32.1153886889806,28.949424999999998,3.147641,1204.79296875,478,5691.477122390135,27.644404411315918,14.43488621711731,13.209518194198608,runs/tune-cpu-l256-s96-r2/receipt.json
tune-cpu-l256-s96-r3,cpu:1,timing,256,96,16,96,14,1048576,1904.0,182784.0,runs/qual-cpu-l256-s96/qualification.json,6949457cecc285517a2bc6b8104043b2db2fd734d88d5c6b54d6226b2ae2214a,1,32.248437506030314,28.994591999999997,3.2382410000000004,1203.7578125,478,5667.995541359801,27.761148691177368,14.47484064102173,13.286308050155638,runs/tune-cpu-l256-s96-r3/receipt.json
tune-cpu-l512-r1,cpu:1,timing,512,112,16,96,5,2097152,1904.0,182784.0,runs/qual-v2-cpu-l512/qualification.json,dced9036891ee91b460de6e5e07fbe116f20a03e8eaa67f068d37ab936f66bd2,1,31.25319507298991,28.019903,3.218969,1204.78125,479,5848.490036718461,26.775664806365967,14.469058752059937,12.30660605430603,runs/tune-cpu-l512-r1/receipt.json
tune-cpu-l512-r2,cpu:1,timing,512,112,16,96,5,2097152,1904.0,182784.0,runs/qual-v2-cpu-l512/qualification.json,dced9036891ee91b460de6e5e07fbe116f20a03e8eaa67f068d37ab936f66bd2,1,31.19043794000754,27.945849,3.212839,1204.84375,479,5860.257568411552,26.67791485786438,14.46187162399292,12.21604323387146,runs/tune-cpu-l512-r2/receipt.json
tune-cpu-l512-r3,cpu:1,timing,512,112,16,96,5,2097152,1904.0,182784.0,runs/qual-v2-cpu-l512/qualification.json,dced9036891ee91b460de6e5e07fbe116f20a03e8eaa67f068d37ab936f66bd2,1,31.212946304003708,27.935662,3.246811,1204.6484375,479,5856.03160367319,26.719436407089233,14.510281562805176,12.209154844284058,runs/tune-cpu-l512-r3/receipt.json
tune-cpu-l512-s96-r1,cpu:1,timing,512,96,16,96,5,2097152,1904.0,182784.0,runs/qual-cpu-l512-s96/qualification.json,40c8498341dc67ae11a0a1f24edf8e8c716434c8843788f023b4b47b706aaf7b,1,31.13894719898235,27.885042,3.2398599999999997,1204.62109375,481,5869.947973256256,26.640637636184692,14.43795871734619,12.202678918838503,runs/tune-cpu-l512-s96-r1/receipt.json
tune-cpu-l512-s96-r2,cpu:1,timing,512,96,16,96,5,2097152,1904.0,182784.0,runs/qual-cpu-l512-s96/qualification.json,40c8498341dc67ae11a0a1f24edf8e8c716434c8843788f023b4b47b706aaf7b,1,31.15839448297629,27.914492,3.229713,1204.72265625,481,5866.2842881672195,26.663444757461548,14.48151445388794,12.181930303573608,runs/tune-cpu-l512-s96-r2/receipt.json
tune-cpu-l512-s96-r3,cpu:1,timing,512,96,16,96,5,2097152,1904.0,182784.0,runs/qual-cpu-l512-s96/qualification.json,40c8498341dc67ae11a0a1f24edf8e8c716434c8843788f023b4b47b706aaf7b,1,31.22804861498298,27.9795,3.2290189999999996,1204.734375,481,5853.199546778649,26.704458236694336,14.463855266571047,12.24060297012329,runs/tune-cpu-l512-s96-r3/receipt.json
