case,scheme,mode,segment_length,start_pad,end_pad,templates,segments_per_template,fft_samples,valid_data_seconds,total_template_seconds,qualification,allocated_cpu_cores,wall_seconds,user_cpu_seconds,system_cpu_seconds,peak_rss_mib,triggers,templates_per_core_at_real_time,internal_runtime_seconds,internal_setup_seconds,internal_postsetup_seconds,receipt
qual-v2-cpu-l1024,cpu:1,qualify,1024,112,16,96,3,4194304,1904.0,182784.0,runs/qual-v2-cpu-l1024/qualification.json,1,36.624661155976355,33.294516,3.314316,1206.23046875,475,4990.7355926533555,32.162829637527466,14.88446593284607,17.278363704681396,runs/qual-v2-cpu-l1024/receipt.json
qual-v2-cpu-l256,cpu:1,qualify,256,112,16,96,15,1048576,1904.0,182784.0,runs/qual-v2-cpu-l256/qualification.json,1,33.16282143595163,30.011605000000003,3.1377360000000003,1206.10546875,478,5511.714386335202,28.718044996261597,14.702232837677,14.015812158584597,runs/qual-v2-cpu-l256/receipt.json
qual-v2-cpu-l512,cpu:1,qualify,512,112,16,96,5,2097152,1904.0,182784.0,runs/qual-v2-cpu-l512/qualification.json,1,31.148346163972747,28.065773,3.06933,1205.1953125,479,5868.176725588542,26.716989040374756,14.484743595123291,12.232245445251465,runs/qual-v2-cpu-l512/receipt.json
tune-cpu-l1024-r1,cpu:1,timing,1024,112,16,96,3,4194304,1904.0,182784.0,runs/qual-v2-cpu-l1024/qualification.json,1,36.625725836027414,33.283976,3.324845,1266.90234375,475,4990.590516030182,32.100592374801636,14.817706823348999,17.282885551452637,runs/tune-cpu-l1024-r1/receipt.json
tune-cpu-l1024-r2,cpu:1,timing,1024,112,16,96,3,4194304,1904.0,182784.0,runs/qual-v2-cpu-l1024/qualification.json,1,36.58358664799016,33.209995,3.354076,1266.55859375,475,4996.3389800666755,32.05800247192383,14.825875043869019,17.23212742805481,runs/tune-cpu-l1024-r2/receipt.json
tune-cpu-l1024-r3,cpu:1,timing,1024,112,16,96,3,4194304,1904.0,182784.0,runs/qual-v2-cpu-l1024/qualification.json,1,36.65241411898751,33.177992,3.450708,1266.8359375,475,4986.956641017273,32.11822724342346,14.818822145462036,17.299405097961426,runs/tune-cpu-l1024-r3/receipt.json
tune-cpu-l256-r1,cpu:1,timing,256,112,16,96,15,1048576,1904.0,182784.0,runs/qual-v2-cpu-l256/qualification.json,1,32.9846867150045,29.730114,3.2413790000000002,1204.69140625,478,5541.480553667131,28.477515697479248,14.517188072204592,13.960327625274656,runs/tune-cpu-l256-r1/receipt.json
tune-cpu-l256-r2,cpu:1,timing,256,112,16,96,15,1048576,1904.0,182784.0,runs/qual-v2-cpu-l256/qualification.json,1,32.94291893899208,29.741916,3.1834499999999997,1204.6015625,478,5548.506504189955,28.45280647277832,14.500343561172485,13.952462911605835,runs/tune-cpu-l256-r2/receipt.json
tune-cpu-l256-r3,cpu:1,timing,256,112,16,96,15,1048576,1904.0,182784.0,runs/qual-v2-cpu-l256/qualification.json,1,32.95328768499894,29.708081,3.2233099999999997,1204.8359375,478,5546.760667622469,28.44719672203064,14.497757911682129,13.94943881034851,runs/tune-cpu-l256-r3/receipt.json
tune-cpu-l512-r1,cpu:1,timing,512,112,16,96,5,2097152,1904.0,182784.0,runs/qual-v2-cpu-l512/qualification.json,1,31.25319507298991,28.019903,3.218969,1204.78125,479,5848.490036718461,26.775664806365967,14.469058752059937,12.30660605430603,runs/tune-cpu-l512-r1/receipt.json
tune-cpu-l512-r2,cpu:1,timing,512,112,16,96,5,2097152,1904.0,182784.0,runs/qual-v2-cpu-l512/qualification.json,1,31.19043794000754,27.945849,3.212839,1204.84375,479,5860.257568411552,26.67791485786438,14.46187162399292,12.21604323387146,runs/tune-cpu-l512-r2/receipt.json
tune-cpu-l512-r3,cpu:1,timing,512,112,16,96,5,2097152,1904.0,182784.0,runs/qual-v2-cpu-l512/qualification.json,1,31.212946304003708,27.935662,3.246811,1204.6484375,479,5856.03160367319,26.719436407089233,14.510281562805176,12.209154844284058,runs/tune-cpu-l512-r3/receipt.json
