case,scheme,mode,event,symbol,shared_object,self_event_percent,samples,event_period,extra_columns,classification
profile-optimized6-cpu-l512-perf,cpu:1,perf,cycles:u,[.] Frz_inflate_fast,libframel-9cd69e87.so.8.43.1,13.95,852,10811655125,"{""IPC"":""-"",""[IPC Coverage]"":""-""}",unassigned native symbol; no unique pipeline attribution
profile-optimized6-cpu-l512-perf,cpu:1,perf,cycles:u,[.] mkl_dft_def_owns_cRadix4Inv_32fc,libmkl_def.so,9.22,544,7145783093,"{""IPC"":""-"",""[IPC Coverage]"":""-""}",FFT symbol (symbol-name evidence)
profile-optimized6-cpu-l512-perf,cpu:1,perf,cycles:u,"[.] __pyx_fuse_1_0__pyx_pw_5pycbc_6vetoes_9chisq_cpu_25point_chisq_code(_object*, _object*, _object*)",chisq_cpu.cpython-311-x86_64-linux-gnu.so,6.63,401,5136653074,"{""IPC"":""-"",""[IPC Coverage]"":""-""}",unassigned native symbol; no unique pipeline attribution
profile-optimized6-cpu-l512-perf,cpu:1,perf,cycles:u,[.] mkl_dft_def_owns_cFft_BlkMerge_32fc,libmkl_def.so,4.91,290,3802366363,"{""IPC"":""-"",""[IPC Coverage]"":""-""}",FFT symbol (symbol-name evidence)
profile-optimized6-cpu-l512-perf,cpu:1,perf,cycles:u,[.] mkl_dft_def_owns_cFftInv_Fact8_32fc,libmkl_def.so,4.58,268,3550214870,"{""IPC"":""-"",""[IPC Coverage]"":""-""}",FFT symbol (symbol-name evidence)
profile-optimized6-cpu-l512-perf,cpu:1,perf,cycles:u,[.] mkl_dft_def_owns_cFft_BlkSplit_32fc,libmkl_def.so,4.36,257,3375658630,"{""IPC"":""-"",""[IPC Coverage]"":""-""}",FFT symbol (symbol-name evidence)
profile-optimized6-cpu-l512-perf,cpu:1,perf,cycles:u,[.] mkl_serv_libm_sincospi,libmkl_core.so,4.19,254,3247353643,"{""IPC"":""-"",""[IPC Coverage]"":""-""}",unassigned native symbol; no unique pipeline attribution
profile-optimized6-cpu-l512-perf,cpu:1,perf,cycles:u,[.] mkl_serv_libm_sincospif,libmkl_core.so,4.13,278,3203893471,"{""IPC"":""-"",""[IPC Coverage]"":""-""}",unassigned native symbol; no unique pipeline attribution
profile-optimized6-cpu-l512-perf,cpu:1,perf,cycles:u,[.] FrCksumGnu,libframel-9cd69e87.so.8.43.1,3.65,218,2829699683,"{""IPC"":""-"",""[IPC Coverage]"":""-""}",unassigned native symbol; no unique pipeline attribution
profile-optimized6-cpu-l512-perf,cpu:1,perf,cycles:u,"[.] _max_simple(float*, float*, float*, long*, long, long)",simd_threshold_cython.cpython-311-x86_64-linux-gnu.so,2.41,141,1871708897,"{""IPC"":""-"",""[IPC Coverage]"":""-""}",unassigned native symbol; no unique pipeline attribution
profile-optimized6-cpu-l512-perf,cpu:1,perf,cycles:u,[.] Frz_adler32,libframel-9cd69e87.so.8.43.1,1.95,119,1508406440,"{""IPC"":""-"",""[IPC Coverage]"":""-""}",unassigned native symbol; no unique pipeline attribution
profile-optimized6-cpu-l512-perf,cpu:1,perf,cycles:u,[.] _PyEval_EvalFrameDefault,python3.11,1.91,140,1483488102,"{""IPC"":""-"",""[IPC Coverage]"":""-""}",unassigned native symbol; no unique pipeline attribution
