case,scheme,mode,group,numerator,denominator,unit,share_percent,denominator_kind
profile-optimized6-cpu-l512-cprofile,cpu:1,cprofile,FFT,12.156780580000001,34.588198602,seconds,35.14719202316902,sum of cProfile exclusive self time
profile-optimized6-cpu-l512-cprofile,cpu:1,cprofile,correlation,0.0,34.588198602,seconds,0.0,sum of cProfile exclusive self time
profile-optimized6-cpu-l512-cprofile,cpu:1,cprofile,threshold/clustering,0.731034058,34.588198602,seconds,2.1135360832516135,sum of cProfile exclusive self time
profile-optimized6-cpu-l512-cprofile,cpu:1,cprofile,signal-consistency,1.9481339480000002,34.588198602,seconds,5.632366028704811,sum of cProfile exclusive self time
profile-optimized6-cpu-l512-cprofile,cpu:1,cprofile,decompression/waveforms,0.45759900500000006,34.588198602,seconds,1.3229917240429523,sum of cProfile exclusive self time
profile-optimized6-cpu-l512-cprofile,cpu:1,cprofile,conditioning/PSD,0.083536203,34.588198602,seconds,0.24151648937036485,sum of cProfile exclusive self time
profile-optimized6-cpu-l512-cprofile,cpu:1,cprofile,I/O/import/setup,0.826789357,34.588198602,seconds,2.390379928465521,sum of cProfile exclusive self time
profile-optimized6-cpu-l512-cprofile,cpu:1,cprofile,remaining,18.384325451000002,34.588198602,seconds,53.15201772299574,sum of cProfile exclusive self time
profile-optimized6-torch-cpu-l512-cprofile,torch:cpu:1,cprofile,FFT,19.444579855,47.097402195,seconds,41.285886160966,sum of cProfile exclusive self time
profile-optimized6-torch-cpu-l512-cprofile,torch:cpu:1,cprofile,correlation,0.005600745000000001,47.097402195,seconds,0.01189183423920267,sum of cProfile exclusive self time
profile-optimized6-torch-cpu-l512-cprofile,torch:cpu:1,cprofile,threshold/clustering,0.843978964,47.097402195,seconds,1.7919862341995572,sum of cProfile exclusive self time
profile-optimized6-torch-cpu-l512-cprofile,torch:cpu:1,cprofile,signal-consistency,2.004826656,47.097402195,seconds,4.256766960732366,sum of cProfile exclusive self time
profile-optimized6-torch-cpu-l512-cprofile,torch:cpu:1,cprofile,decompression/waveforms,0.469082062,47.097402195,seconds,0.9959828783291134,sum of cProfile exclusive self time
profile-optimized6-torch-cpu-l512-cprofile,torch:cpu:1,cprofile,conditioning/PSD,0.290489773,47.097402195,seconds,0.6167851292461292,sum of cProfile exclusive self time
profile-optimized6-torch-cpu-l512-cprofile,torch:cpu:1,cprofile,I/O/import/setup,0.832818872,47.097402195,seconds,1.7682904644120998,sum of cProfile exclusive self time
profile-optimized6-torch-cpu-l512-cprofile,torch:cpu:1,cprofile,remaining,23.206025268,47.097402195,seconds,49.27241033787554,sum of cProfile exclusive self time
profile-optimized6-torch-cuda-l512-cprofile,torch:cuda:0,cprofile,FFT,3.128366341,22.770839018,seconds,13.738476384322398,sum of cProfile exclusive self time
profile-optimized6-torch-cuda-l512-cprofile,torch:cuda:0,cprofile,correlation,0.0012946810000000002,22.770839018,seconds,0.005685697391196586,sum of cProfile exclusive self time
profile-optimized6-torch-cuda-l512-cprofile,torch:cuda:0,cprofile,threshold/clustering,0.08334725200000001,22.770839018,seconds,0.36602626690266127,sum of cProfile exclusive self time
profile-optimized6-torch-cuda-l512-cprofile,torch:cuda:0,cprofile,signal-consistency,0.22600723100000003,22.770839018,seconds,0.9925292204707291,sum of cProfile exclusive self time
profile-optimized6-torch-cuda-l512-cprofile,torch:cuda:0,cprofile,decompression/waveforms,0.14307766500000002,22.770839018,seconds,0.6283372557633881,sum of cProfile exclusive self time
profile-optimized6-torch-cuda-l512-cprofile,torch:cuda:0,cprofile,conditioning/PSD,0.092656452,22.770839018,seconds,0.406908379294924,sum of cProfile exclusive self time
profile-optimized6-torch-cuda-l512-cprofile,torch:cuda:0,cprofile,I/O/import/setup,0.801258813,22.770839018,seconds,3.5187935427702826,sum of cProfile exclusive self time
profile-optimized6-torch-cuda-l512-cprofile,torch:cuda:0,cprofile,remaining,18.294830583,22.770839018,seconds,80.34324325308442,sum of cProfile exclusive self time
profile-optimized6-torch-cuda-l512-torchprofile,torch:cuda:0,torchprofile,cudaLaunchKernel,295170.69099979475,1962817.551999705,microseconds,15.038111448467378,CPU profiler-visible event self-time sum
profile-optimized6-torch-cuda-l512-torchprofile,torch:cuda:0,torchprofile,cudaStreamSynchronize,263656.082000019,1962817.551999705,microseconds,13.432531298255817,CPU profiler-visible event self-time sum
profile-optimized6-torch-cuda-l512-torchprofile,torch:cuda:0,torchprofile,cudaDeviceGetStreamPriorityRange,122925.34400000237,1962817.551999705,microseconds,6.262698429345452,CPU profiler-visible event self-time sum
profile-optimized6-torch-cuda-l512-torchprofile,torch:cuda:0,torchprofile,cudaMemcpyAsync,116655.42100008577,1962817.551999705,microseconds,5.9432635947868935,CPU profiler-visible event self-time sum
profile-optimized6-torch-cuda-l512-torchprofile,torch:cuda:0,torchprofile,aten::copy_,107739.16299972124,1962817.551999705,microseconds,5.48900548041041,CPU profiler-visible event self-time sum
profile-optimized6-torch-cuda-l512-torchprofile,torch:cuda:0,torchprofile,aten::mul,104538.98800013773,1962817.551999705,microseconds,5.325965619862841,CPU profiler-visible event self-time sum
profile-optimized6-torch-cuda-l512-torchprofile,torch:cuda:0,torchprofile,aten::sum,76359.44300005771,1962817.551999705,microseconds,3.890297543053008,CPU profiler-visible event self-time sum
profile-optimized6-torch-cuda-l512-torchprofile,torch:cuda:0,torchprofile,aten::empty_strided,58433.84199993312,1962817.551999705,microseconds,2.9770388969877066,CPU profiler-visible event self-time sum
profile-optimized6-torch-cuda-l512-torchprofile,torch:cuda:0,torchprofile,aten::masked_fill_,55788.47500002012,1962817.551999705,microseconds,2.8422649340578396,CPU profiler-visible event self-time sum
profile-optimized6-torch-cuda-l512-torchprofile,torch:cuda:0,torchprofile,aten::pow,53317.26900007762,1962817.551999705,microseconds,2.716363981245142,CPU profiler-visible event self-time sum
profile-optimized6-torch-cuda-l512-torchprofile,torch:cuda:0,torchprofile,aten::empty,46831.970000067726,1962817.551999705,microseconds,2.385956348941125,CPU profiler-visible event self-time sum
profile-optimized6-torch-cuda-l512-torchprofile,torch:cuda:0,torchprofile,aten::index,46524.355999933556,1962817.551999705,microseconds,2.3702842861036606,CPU profiler-visible event self-time sum
profile-optimized6-torch-cuda-l512-torchprofile,torch:cuda:0,torchprofile,Runtime Triggered Module Loading,35067.49699999951,1962817.551999705,microseconds,1.7865897400536788,CPU profiler-visible event self-time sum
profile-optimized6-torch-cuda-l512-torchprofile,torch:cuda:0,torchprofile,aten::_to_copy,33414.94700037129,1962817.551999705,microseconds,1.7023969938687564,CPU profiler-visible event self-time sum
profile-optimized6-torch-cuda-l512-torchprofile,torch:cuda:0,torchprofile,aten::nonzero,30781.880000090227,1962817.551999705,microseconds,1.5682496811142665,CPU profiler-visible event self-time sum
profile-optimized6-torch-cuda-l512-torchprofile,torch:cuda:0,torchprofile,aten::maximum,23989.064000001177,1962817.551999705,microseconds,1.222174927851103,CPU profiler-visible event self-time sum
profile-optimized6-torch-cuda-l512-torchprofile,torch:cuda:0,torchprofile,aten::addcmul_,23293.87199999951,1962817.551999705,microseconds,1.18675686266754,CPU profiler-visible event self-time sum
profile-optimized6-torch-cuda-l512-torchprofile,torch:cuda:0,torchprofile,aten::eq,23197.19599997066,1962817.551999705,microseconds,1.1818314940345584,CPU profiler-visible event self-time sum
profile-optimized6-torch-cuda-l512-torchprofile,torch:cuda:0,torchprofile,aten::select,22349.280000088736,1962817.551999705,microseconds,1.1386325732271676,CPU profiler-visible event self-time sum
profile-optimized6-torch-cuda-l512-torchprofile,torch:cuda:0,torchprofile,aten::gather,20777.31000005454,1962817.551999705,microseconds,1.0585451500006589,CPU profiler-visible event self-time sum
profile-optimized6-torch-cuda-l512-torchprofile,torch:cuda:0,torchprofile,aten::slice,20441.250999724492,1962817.551999705,microseconds,1.0414238948953298,CPU profiler-visible event self-time sum
profile-optimized6-torch-cuda-l512-torchprofile,torch:cuda:0,torchprofile,aten::add,19191.32799982652,1962817.551999705,microseconds,0.9777438550146715,CPU profiler-visible event self-time sum
profile-optimized6-torch-cuda-l512-torchprofile,torch:cuda:0,torchprofile,aten::add_,16921.955000007525,1962817.551999705,microseconds,0.8621257224222167,CPU profiler-visible event self-time sum
