case,mode,scheme,segment_length,start_pad,end_pad,templates,segments_per_template,fft_samples,valid_data_seconds,total_template_seconds,qualification,source_phase,source_commit,allocated_cpu_cores,wall_seconds,templates_per_core_at_real_time,internal_runtime_seconds,internal_setup_seconds,internal_postsetup_seconds,peak_rss_mib,user_cpu_seconds,system_cpu_seconds,triggers,receipt
qual-selected6-cpu-l512,qualify,cpu:1,512,112,16,96,5,2097152,1904,182784,runs/qual-selected6-cpu-l512/qualification.json,optimized,a4d77a6d1863c0515e8dace64c5609b63d40b51e,1,32.213542811980005,5674.1352873495125,27.790496826171875,15.313591003417969,12.476905822753906,1206.1171875,29.00885,3.193141,475,runs/qual-selected6-cpu-l512/receipt.json
qual-selected6-torch-cpu-l512,qualify,torch:cpu:1,512,112,16,96,5,2097152,1904,182784,runs/qual-selected6-torch-cpu-l512/qualification.json,optimized,a4d77a6d1863c0515e8dace64c5609b63d40b51e,1,44.53818568598945,4103.98396757098,40.049880027770996,15.178753852844238,24.871126174926758,1206.18359375,40.892134,3.63247,475,runs/qual-selected6-torch-cpu-l512/receipt.json
qual-selected6-torch-cuda-l512,qualify,torch:cuda:0,512,112,16,96,5,2097152,1904,182784,runs/qual-selected6-torch-cuda-l512/qualification.json,optimized,a4d77a6d1863c0515e8dace64c5609b63d40b51e,1,20.315124478947837,8997.434408507585,15.684126853942871,13.404088735580444,2.2800381183624263,1474.21875,16.833156000000002,3.469534,475,runs/qual-selected6-torch-cuda-l512/receipt.json
matched-optimized6-cpu-l512-r1,timing,cpu:1,512,112,16,96,5,2097152,1904,182784,runs/qual-selected6-cpu-l512/qualification.json,optimized,a4d77a6d1863c0515e8dace64c5609b63d40b51e,1,32.29689181497088,5659.491973629253,27.782342195510864,15.26550817489624,12.516834020614624,1204.71875,28.999388,3.2624150000000003,475,runs/matched-optimized6-cpu-l512-r1/receipt.json
matched-optimized6-torch-cpu-l512-r1,timing,torch:cpu:1,512,112,16,96,5,2097152,1904,182784,runs/qual-selected6-torch-cpu-l512/qualification.json,optimized,a4d77a6d1863c0515e8dace64c5609b63d40b51e,1,44.540422888007015,4103.777830300227,39.98224973678589,15.135717391967773,24.846532344818115,1204.69140625,40.793159,3.729891,475,runs/matched-optimized6-torch-cpu-l512-r1/receipt.json
matched-optimized6-torch-cuda-l512-r1,timing,torch:cuda:0,512,112,16,96,5,2097152,1904,182784,runs/qual-selected6-torch-cuda-l512/qualification.json,optimized,a4d77a6d1863c0515e8dace64c5609b63d40b51e,1,20.393830954039004,8962.710361380121,15.738375186920166,13.511731624603271,2.2266435623168936,1467.8125,16.76779,3.612079,475,runs/matched-optimized6-torch-cuda-l512-r1/receipt.json
matched-optimized6-torch-cpu-l512-r2,timing,torch:cpu:1,512,112,16,96,5,2097152,1904,182784,runs/qual-selected6-torch-cpu-l512/qualification.json,optimized,a4d77a6d1863c0515e8dace64c5609b63d40b51e,1,44.535408966010436,4104.239845187036,40.000736474990845,15.146563053131104,24.85417342185974,1204.69140625,40.731134,3.761031,475,runs/matched-optimized6-torch-cpu-l512-r2/receipt.json
matched-optimized6-torch-cuda-l512-r2,timing,torch:cuda:0,512,112,16,96,5,2097152,1904,182784,runs/qual-selected6-torch-cuda-l512/qualification.json,optimized,a4d77a6d1863c0515e8dace64c5609b63d40b51e,1,20.318666264996864,8995.866048298825,15.646892309188843,13.396424293518066,2.2504680156707764,1469.203125,16.689053,3.615425,475,runs/matched-optimized6-torch-cuda-l512-r2/receipt.json
matched-optimized6-cpu-l512-r2,timing,cpu:1,512,112,16,96,5,2097152,1904,182784,runs/qual-selected6-cpu-l512/qualification.json,optimized,a4d77a6d1863c0515e8dace64c5609b63d40b51e,1,32.27963670599274,5662.517260179263,27.773310661315918,15.269181489944458,12.50412917137146,1204.68359375,29.063769,3.198346,475,runs/matched-optimized6-cpu-l512-r2/receipt.json
matched-optimized6-torch-cuda-l512-r3,timing,torch:cuda:0,512,112,16,96,5,2097152,1904,182784,runs/qual-selected6-torch-cuda-l512/qualification.json,optimized,a4d77a6d1863c0515e8dace64c5609b63d40b51e,1,20.32140234397957,8994.654842516402,15.636802196502686,13.364545822143555,2.272256374359131,1469.75,16.805229,3.5014209999999997,475,runs/matched-optimized6-torch-cuda-l512-r3/receipt.json
