# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles:u'
# Event count (approx.): 77563899995
#
# Overhead       Samples        Period  Command     Shared Object                                          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    IPC   [IPC Coverage]
# ........  ............  ............  ..........  .....................................................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    14.32%           876   11106064383  python      libframel-9cd69e87.so.8.43.1                           [.] Frz_inflate_fast                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     9.51%           562    7377822917  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cRadix4Inv_32fc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     6.61%           401    5128195474  python      chisq_cpu.cpython-311-x86_64-linux-gnu.so              [.] __pyx_fuse_1_0__pyx_pw_5pycbc_6vetoes_9chisq_cpu_25point_chisq_code(_object*, _object*, _object*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     4.61%           270    3577680083  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cFftInv_Fact8_32fc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     4.29%           289    3325101315  python      libmkl_core.so                                         [.] mkl_serv_libm_sincospif                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -            
     4.28%           254    3320020374  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cFft_BlkMerge_32fc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     4.22%           256    3275562784  python      libmkl_core.so                                         [.] mkl_serv_libm_sincospi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -            
     4.19%           248    3253222106  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cFft_BlkSplit_32fc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     3.71%           222    2874400300  python      libframel-9cd69e87.so.8.43.1                           [.] FrCksumGnu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     2.52%           147    1953539770  python      simd_threshold_cython.cpython-311-x86_64-linux-gnu.so  [.] _max_simple(float*, float*, float*, long*, long, long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -            
     2.01%           147    1556658739  python      python3.11                                             [.] _PyEval_EvalFrameDefault                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     1.98%           118    1538123220  python      matchedfilter_cpu.cpython-311-x86_64-linux-gnu.so      [.] __pyx_pf_5pycbc_6filter_17matchedfilter_cpu_12_correlate(_object*, __Pyx_memviewslice, __Pyx_memviewslice, __Pyx_memviewslice) [clone ._omp_fn.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     1.61%            94    1248687424  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cFftInv_Fact4_32fc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     1.60%            98    1244452106  python      libframel-9cd69e87.so.8.43.1                           [.] Frz_adler32                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     1.55%            91    1199448261  python      libmkl_core.so                                         [.] mkl_serv_libm_cos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     1.48%           102    1147810041  python      libmkl_core.so                                         [.] mkl_serv_libm_sin                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
