cell,repeat,case,full_wall_seconds,internal_seconds,setup_seconds,outside_internal_seconds,overhead_fraction,template_seconds_per_wall_second
standard-original,1,timing-1-standard-original,66.79196195304394,62.270970821380615,11.979796409606934,4.5209911316633224,0.24704750480111115,10946.466889444016
standard-original,2,timing-2-standard-original,66.88543731998652,62.31723976135254,12.050999164581299,4.568197558633983,0.2484725732405308,10931.16871617619
standard-original,3,timing-3-standard-original,66.8136871799361,62.27017283439636,12.181979656219482,4.543514345539734,0.25033035456815533,10942.907521792293
standard-original,4,timing-4-standard-original,67.03866434202064,62.47981524467468,12.164705276489258,4.558849097345956,0.2494613300842972,10906.18387427679
standard-cached,1,timing-1-standard-cached,65.18933876103256,60.70885419845581,10.48350191116333,4.480484562576748,0.2295465295114317,11215.576256727461
standard-cached,2,timing-2-standard-cached,65.40234999603126,60.92772459983826,10.524744033813477,4.474625396193005,0.22933991562866887,11179.047848347447
standard-cached,3,timing-3-standard-cached,65.33776731300168,60.822863817214966,10.573711395263672,4.514903495786712,0.23093251440270554,11190.097704096326
standard-cached,4,timing-4-standard-cached,65.50571407098323,61.00474500656128,10.63756251335144,4.500969064421952,0.2311024586552708,11161.40798354976
cuda-original,1,timing-1-cuda-original,22.051732614985667,17.4485867023468,10.429133653640747,4.603145912638865,0.681682470431559,33155.48999098342
cuda-original,2,timing-2-cuda-original,21.893677284009755,17.27389359474182,10.269304513931274,4.619783689267933,0.6800633813157366,33394.84685535179
cuda-original,3,timing-3-cuda-original,21.904617147054523,17.303017616271973,10.259305953979492,4.601599530782551,0.6784371251501359,33378.16840584747
cuda-original,4,timing-4-cuda-original,22.047867769026197,17.46095085144043,10.41484546661377,4.586916917585768,0.6804178318447041,33161.30192993681
cuda-cached,1,timing-1-cuda-cached,20.213787035900168,15.608629941940308,8.627690553665161,4.6051570939598605,0.6546446553593925,36170.164388369434
cuda-cached,2,timing-2-cuda-cached,20.30781853396911,15.624205827713013,8.640905141830444,4.683612706256099,0.6561274824175958,36002.68530945462
cuda-cached,3,timing-3-cuda-cached,20.30246284091845,15.694680452346802,8.683253288269043,4.60778238857165,0.6546513977631014,36012.18264645397
cuda-cached,4,timing-4-cuda-cached,20.280753289931454,15.651227712631226,8.626041889190674,4.629525577300228,0.6536033093539843,36050.73192044491
