----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
             aten::sum        43.10%       6.474ms        61.87%       9.292ms       9.292ms             1  
             aten::pow        27.11%       4.072ms        27.13%       4.075ms       4.075ms             1  
           aten::fill_        18.75%       2.816ms        18.75%       2.816ms       2.816ms             1  
          aten::argmax         9.90%       1.486ms         9.91%       1.488ms       1.488ms             1  
            aten::view         0.19%      29.065us         0.19%      29.065us       9.688us             3  
           aten::index         0.16%      24.708us         0.27%      40.026us      40.026us             1  
          aten::arange         0.16%      23.435us         0.31%      45.947us      22.974us             2  
      aten::as_strided         0.11%      16.631us         0.11%      16.631us       4.158us             4  
          aten::detach         0.09%      13.706us         0.09%      13.706us       2.284us             6  
           aten::slice         0.08%      11.983us         0.11%      15.810us      15.810us             1  
          aten::square         0.08%      11.902us        27.21%       4.087ms       4.087ms             1  
    aten::view_as_real         0.08%      11.812us         0.08%      11.812us      11.812us             1  
         aten::reshape         0.07%      10.379us         0.26%      39.444us      13.148us             3  
              aten::to         0.05%       7.253us         0.05%       7.253us       1.209us             6  
           aten::empty         0.03%       3.937us         0.03%       3.937us       3.937us             1  
         aten::resize_         0.02%       2.314us         0.02%       2.314us       2.314us             1  
     aten::result_type         0.01%       1.874us         0.01%       1.874us       1.874us             1  
    aten::resolve_conj         0.01%       1.663us         0.01%       1.663us       0.554us             3  
     aten::resolve_neg         0.00%       0.551us         0.00%       0.551us       0.184us             3  
----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 15.019ms
