----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
             aten::pow        48.12%       4.331ms        48.28%       4.346ms     543.259us             8  
          aten::argmax        22.96%       2.066ms        23.04%       2.074ms     518.376us             4  
             aten::add        22.93%       2.064ms        22.93%       2.064ms     516.067us             4  
           aten::index         0.83%      74.870us         1.38%     124.064us      31.016us             4  
          aten::arange         0.80%      71.855us         1.46%     131.268us      16.409us             8  
          aten::select         0.75%      67.408us         0.82%      74.121us       9.265us             8  
    aten::view_as_real         0.58%      52.479us         0.58%      52.479us       6.560us             8  
      aten::as_strided         0.58%      51.989us         0.58%      51.989us       2.476us            21  
            aten::real         0.33%      29.555us         1.11%     100.280us      25.070us             4  
          aten::square         0.30%      26.764us        48.58%       4.373ms     546.605us             8  
         aten::reshape         0.27%      24.480us         0.51%      45.769us       5.085us             9  
           aten::slice         0.24%      21.858us         0.44%      39.583us       7.917us             5  
            aten::view         0.24%      21.289us         0.24%      21.289us       2.365us             9  
            aten::imag         0.16%      14.717us         0.78%      70.592us      17.648us             4  
          aten::detach         0.15%      13.736us         0.15%      13.736us       2.289us             6  
              aten::to         0.14%      12.664us         0.14%      12.664us       0.974us            13  
             aten::cat         0.12%      10.580us         0.12%      10.580us       5.290us             2  
           aten::empty         0.11%       9.498us         0.11%       9.498us       2.374us             4  
         aten::resize_         0.10%       9.007us         0.10%       9.007us       2.252us             4  
     aten::result_type         0.10%       8.856us         0.10%       8.856us       1.107us             8  
           aten::split         0.09%       8.075us         0.33%      29.886us      29.886us             1  
          aten::narrow         0.09%       7.846us         0.24%      21.811us       5.453us             4  
    aten::resolve_conj         0.02%       1.444us         0.02%       1.444us       0.481us             3  
     aten::resolve_neg         0.01%       0.520us         0.01%       0.520us       0.173us             3  
----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 9.001ms
