----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
             aten::pow        45.19%     326.400ms        45.24%     326.790ms       1.433ms           228  
             aten::add        27.18%     196.302ms        27.18%     196.302ms       1.722ms           114  
          aten::argmax        26.00%     187.799ms        26.04%     188.075ms       1.650ms           114  
           aten::index         0.29%       2.109ms         0.47%       3.416ms      29.964us           114  
          aten::arange         0.26%       1.891ms         0.52%       3.732ms      16.369us           228  
          aten::select         0.21%       1.522ms         0.24%       1.701ms       7.463us           228  
    aten::view_as_real         0.19%       1.344ms         0.19%       1.344ms       5.895us           228  
      aten::as_strided         0.15%       1.116ms         0.15%       1.116ms       1.954us           571  
          aten::square         0.10%     700.861us        45.34%     327.491ms       1.436ms           228  
            aten::real         0.08%     568.332us         0.32%       2.284ms      20.034us           114  
         aten::reshape         0.07%     480.329us         0.10%     742.414us       3.242us           229  
            aten::imag         0.06%     403.632us         0.24%       1.733ms      15.206us           114  
         aten::resize_         0.04%     262.261us         0.04%     262.261us       2.301us           114  
            aten::view         0.04%     262.085us         0.04%     262.085us       1.144us           229  
           aten::empty         0.03%     252.279us         0.03%     252.279us       2.213us           114  
           aten::slice         0.03%     223.506us         0.04%     292.748us       2.546us           115  
     aten::result_type         0.03%     213.339us         0.03%     213.339us       0.936us           228  
              aten::to         0.03%     183.423us         0.03%     183.423us       0.787us           233  
          aten::narrow         0.02%     127.428us         0.06%     404.706us       3.550us           114  
           aten::split         0.02%     113.610us         0.07%     518.316us     518.316us             1  
             aten::cat         0.01%      39.815us         0.01%      39.815us      19.907us             2  
          aten::detach         0.00%      13.765us         0.00%      13.765us       2.294us             6  
    aten::resolve_conj         0.00%       1.823us         0.00%       1.823us       0.608us             3  
     aten::resolve_neg         0.00%       0.581us         0.00%       0.581us       0.194us             3  
----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 722.329ms
