-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                Activity Buffer Request        77.63%       2.972ms        77.63%       2.972ms       2.972ms      27.168us        10.61%      27.168us      27.168us             1  
                                            aten::slice         3.53%     135.317us         4.31%     165.070us       4.855us       0.000us         0.00%       0.000us       0.000us            34  
                                       cudaLaunchKernel         3.17%     121.391us         3.17%     121.391us      13.488us       0.000us         0.00%       0.000us       0.000us             9  
                                         aten::_fft_c2c         1.59%      60.985us         3.75%     143.570us     143.570us      87.296us        34.10%     120.928us     120.928us             1  
                                       aten::as_strided         1.07%      41.095us         1.07%      41.095us       1.054us       0.000us         0.00%       0.000us       0.000us            39  
                                        cudaMemcpyAsync         1.05%      40.366us         1.05%      40.366us      20.183us       0.000us         0.00%       0.000us       0.000us             2  
                                            aten::copy_         1.02%      39.123us         2.60%      99.548us      33.183us      13.024us         5.09%      13.024us       4.341us             3  
                                              aten::mul         0.97%      37.269us         3.20%     122.681us      61.340us      46.016us        17.97%      56.736us      28.368us             2  
                                              aten::cat         0.96%      36.587us        79.60%       3.048ms       3.048ms      27.168us        10.61%      54.336us      54.336us             1  
                                              aten::pow         0.79%      30.348us         1.21%      46.398us      46.398us      23.360us         9.12%      23.360us      23.360us             1  
                                            aten::index         0.78%      29.765us         1.23%      47.028us      47.028us       2.528us         0.99%       2.528us       2.528us             1  
                                         cuLaunchKernel         0.75%      28.864us         0.75%      28.864us      14.432us       0.000us         0.00%       0.000us       0.000us             2  
                                              aten::sum         0.68%      25.957us         0.98%      37.680us      37.680us      35.776us        13.97%      35.776us      35.776us             1  
                                    aten::empty_strided         0.65%      24.997us         0.65%      24.997us       8.332us       0.000us         0.00%       0.000us       0.000us             3  
                                            aten::empty         0.57%      22.002us         0.57%      22.002us       7.334us       0.000us         0.00%       0.000us       0.000us             3  
                                           aten::argmax         0.55%      21.180us         0.82%      31.379us      31.379us      19.969us         7.80%      19.969us      19.969us             1  
                                            aten::stack         0.51%      19.487us        80.17%       3.069ms       3.069ms       0.000us         0.00%      54.336us      54.336us             1  
                                           aten::arange         0.45%      17.392us         1.62%      62.117us      31.059us       0.896us         0.35%       1.792us       0.896us             2  
                                            aten::clone         0.40%      15.189us         1.77%      67.898us      67.898us       0.000us         0.00%      10.720us      10.720us             1  
                                             aten::view         0.33%      12.452us         0.33%      12.452us       1.779us       0.000us         0.00%       0.000us       0.000us             7  
                                         aten::_to_copy         0.32%      12.063us         2.19%      83.899us      41.950us       0.000us         0.00%       2.304us       1.152us             2  
                                     aten::view_as_real         0.27%      10.279us         0.27%      10.279us      10.279us       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaDeviceSynchronize         0.25%       9.477us         0.25%       9.477us       4.739us       0.000us         0.00%       0.000us       0.000us             2  
                                          aten::reshape         0.21%       8.046us         0.34%      12.904us       3.226us       0.000us         0.00%       0.000us       0.000us             4  
                                               aten::to         0.20%       7.794us         2.39%      91.693us      18.339us       0.000us         0.00%       2.304us       0.461us             5  
                                          aten::resize_         0.18%       7.053us         0.18%       7.053us       3.526us       0.000us         0.00%       0.000us       0.000us             2  
                                         aten::fft_ifft         0.18%       6.933us         3.93%     150.503us     150.503us       0.000us         0.00%     120.928us     120.928us             1  
                                  cudaStreamSynchronize         0.16%       5.952us         0.16%       5.952us       2.976us       0.000us         0.00%       0.000us       0.000us             2  
                                            aten::split         0.12%       4.468us         0.30%      11.631us      11.631us       0.000us         0.00%       0.000us       0.000us             1  
                                      aten::as_strided_         0.11%       4.398us         0.11%       4.398us       4.398us       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::detach         0.11%       4.028us         0.11%       4.028us       1.007us       0.000us         0.00%       0.000us       0.000us             4  
                                           aten::square         0.10%       4.006us         1.32%      50.404us      50.404us       0.000us         0.00%      23.360us      23.360us             1  
                                          aten::permute         0.10%       3.807us         0.13%       4.869us       4.869us       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::narrow         0.10%       3.807us         0.19%       7.163us       7.163us       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaStreamIsCapturing         0.07%       2.615us         0.07%       2.615us       1.308us       0.000us         0.00%       0.000us       0.000us             2  
                                      aten::result_type         0.02%       0.872us         0.02%       0.872us       0.872us       0.000us         0.00%       0.000us       0.000us             1  
                                     aten::resolve_conj         0.02%       0.801us         0.02%       0.801us       0.401us       0.000us         0.00%       0.000us       0.000us             2  
                                      aten::resolve_neg         0.01%       0.301us         0.01%       0.301us       0.151us       0.000us         0.00%       0.000us       0.000us             2  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      27.168us        10.61%      27.168us      27.168us             1  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.720us         4.19%      10.720us      10.720us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.829ms
Self CUDA time total: 256.033us
