         46821 function calls (46815 primitive calls) in 0.042 seconds

   Ordered by: cumulative time
   List reduced from 166 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.042    0.042 matchedfilter.py:2520(process_data)
        1    0.000    0.000    0.042    0.042 matchedfilter.py:2525(process_all)
        2    0.000    0.000    0.042    0.021 matchedfilter.py:2795(_process_batch)
        1    0.000    0.000    0.027    0.027 scheme.py:432(_scheming_function)
        1    0.000    0.000    0.027    0.027 matchedfilter_torch.py:1047(batch_correlate_execute)
        1    0.000    0.000    0.027    0.027 matchedfilter_torch.py:772(_try_cuda_native_batch_correlate)
        1    0.000    0.000    0.027    0.027 matchedfilter_torch.py:734(execute)
        1    0.000    0.000    0.023    0.023 matchedfilter_torch.py:690(can_execute)
        1    0.000    0.000    0.015    0.015 {built-in method builtins.all}
     2049    0.001    0.000    0.015    0.000 matchedfilter_torch.py:713(<genexpr>)
     2050    0.007    0.000    0.014    0.000 matchedfilter_torch.py:562(_cuda_batch_tensor_contract)
        1    0.000    0.000    0.011    0.011 matchedfilter.py:2094(_torch_batch_peak_values)
        1    0.000    0.000    0.011    0.011 matchedfilter.py:1981(_try_torch_cuda_native_batch_peak_values)
        2    0.011    0.005    0.011    0.005 {method 'cpu' of 'torch._C.TensorBase' objects}
     2050    0.002    0.000    0.004    0.000 matchedfilter_torch.py:174(_has_autograd_state)
        1    0.001    0.001    0.003    0.003 matchedfilter_torch.py:339(_batch_outputs_are_disjoint)
        1    0.003    0.003    0.003    0.003 matchedfilter_torch.py:758(<listcomp>)
     2050    0.001    0.000    0.002    0.000 forward_ad.py:151(unpack_dual)
     2049    0.001    0.000    0.002    0.000 matchedfilter_torch.py:207(_logical_storage_span)
        1    0.000    0.000    0.002    0.002 torchfft.py:1414(execute)
        1    0.000    0.000    0.002    0.002 torchfft.py:1330(_execute_batched_ifft)
     2050    0.001    0.000    0.002    0.000 matchedfilter_torch.py:213(_is_inference_tensor)
        1    0.000    0.000    0.002    0.002 torchfft.py:1287(_execute_batched_ifft_direct)
        1    0.000    0.000    0.002    0.002 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.002    0.002 matchedfilter.py:2165(_torch_batch_peak_magnitudes)
        1    0.000    0.000    0.002    0.002 {built-in method numpy.fromiter}
        2    0.000    0.000    0.002    0.001 {built-in method builtins.any}
        1    0.001    0.001    0.001    0.001 matchedfilter_torch.py:579(_find_uniform_stride)
     1025    0.000    0.000    0.001    0.000 matchedfilter_torch.py:342(<genexpr>)
     1025    0.001    0.000    0.001    0.000 matchedfilter.py:2181(<genexpr>)
        2    0.001    0.000    0.001    0.001 matchedfilter_torch.py:359(_same_array_tensors)
        1    0.000    0.000    0.001    0.001 matchedfilter_torch.py:718(<listcomp>)
       32    0.001    0.000    0.001    0.000 {built-in method torch._C._fft.fft_ifft}
     2050    0.001    0.000    0.001    0.000 <string>:1(<lambda>)
     2050    0.001    0.000    0.001    0.000 {built-in method torch.is_inference}
     5187    0.001    0.000    0.001    0.000 {method 'data_ptr' of 'torch._C.TensorBase' objects}
     3138    0.001    0.000    0.001    0.000 {method 'is_contiguous' of 'torch._C.TensorBase' objects}
     3140    0.001    0.000    0.001    0.000 {method 'numel' of 'torch._C.TensorBase' objects}
     2049    0.001    0.000    0.001    0.000 matchedfilter_torch.py:715(<genexpr>)
     1025    0.001    0.000    0.001    0.000 {method 'item' of 'numpy.generic' objects}
     2050    0.001    0.000    0.001    0.000 {method 'is_conj' of 'torch._C.TensorBase' objects}
     1025    0.000    0.000    0.001    0.000 matchedfilter_torch.py:747(<genexpr>)
     2050    0.000    0.000    0.000    0.000 {method 'is_neg' of 'torch._C.TensorBase' objects}
     2053    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x615e07efb000}
     2046    0.000    0.000    0.000    0.000 {built-in method builtins.max}


