-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                Activity Buffer Request        77.81%       2.980ms        77.81%       2.980ms       2.980ms      26.816us        10.13%      26.816us      26.816us             1  
                                       cudaLaunchKernel         3.35%     128.301us         3.35%     128.301us      12.830us       0.000us         0.00%       0.000us       0.000us            10  
                                            aten::slice         3.29%     126.188us         3.96%     151.554us       4.593us       0.000us         0.00%       0.000us       0.000us            33  
                                         aten::_fft_c2c         1.53%      58.428us         3.48%     133.231us     133.231us      85.408us        32.28%     121.120us     121.120us             1  
                                        cudaMemcpyAsync         1.09%      41.678us         1.09%      41.678us      20.839us       0.000us         0.00%       0.000us       0.000us             2  
                                            aten::copy_         1.05%      40.096us         2.67%     102.082us      34.027us      13.088us         4.95%      13.088us       4.363us             3  
                                              aten::mul         0.97%      37.280us         3.22%     123.513us      61.756us      48.224us        18.22%      59.040us      29.520us             2  
                                              aten::cat         0.95%      36.318us        79.76%       3.055ms       3.055ms      26.816us        10.13%      53.632us      53.632us             1  
                                              aten::pow         0.83%      31.779us         1.26%      48.100us      48.100us      23.104us         8.73%      23.104us      23.104us             1  
                                       aten::as_strided         0.82%      31.507us         0.82%      31.507us       0.852us       0.000us         0.00%       0.000us       0.000us            37  
                                            aten::index         0.76%      29.256us         1.22%      46.597us      46.597us       2.464us         0.93%       2.464us       2.464us             1  
                                    aten::empty_strided         0.71%      27.242us         0.71%      27.242us       9.081us       0.000us         0.00%       0.000us       0.000us             3  
                                              aten::sum         0.69%      26.500us         0.98%      37.641us      37.641us      36.192us        13.68%      36.192us      36.192us             1  
                                            aten::empty         0.58%      22.262us         0.58%      22.262us       7.421us       0.000us         0.00%       0.000us       0.000us             3  
                                           aten::argmax         0.57%      21.792us         0.83%      31.770us      31.770us      20.160us         7.62%      20.160us      20.160us             1  
                                            aten::stack         0.51%      19.668us        80.34%       3.077ms       3.077ms       0.000us         0.00%      53.632us      53.632us             1  
                                         cuLaunchKernel         0.51%      19.547us         0.51%      19.547us       9.774us       0.000us         0.00%       0.000us       0.000us             2  
                                           aten::arange         0.45%      17.263us         1.61%      61.666us      30.833us       0.896us         0.34%       1.792us       0.896us             2  
                                            aten::clone         0.40%      15.439us         1.80%      68.980us      68.980us       0.000us         0.00%      10.816us      10.816us             1  
                                             aten::view         0.35%      13.246us         0.35%      13.246us       1.892us       0.000us         0.00%       0.000us       0.000us             7  
                                         aten::_to_copy         0.34%      12.913us         2.32%      88.696us      44.348us       0.000us         0.00%       2.272us       1.136us             2  
                                       aten::nan_to_num         0.30%      11.632us         0.54%      20.819us      20.819us       8.256us         3.12%       8.256us       8.256us             1  
                                     aten::view_as_real         0.26%      10.099us         0.26%      10.099us      10.099us       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaDeviceSynchronize         0.25%       9.497us         0.25%       9.497us       4.749us       0.000us         0.00%       0.000us       0.000us             2  
                                          aten::reshape         0.22%       8.425us         0.34%      13.165us       3.291us       0.000us         0.00%       0.000us       0.000us             4  
                                               aten::to         0.21%       7.975us         2.52%      96.671us      19.334us       0.000us         0.00%       2.272us       0.454us             5  
                                          aten::resize_         0.19%       7.244us         0.19%       7.244us       3.622us       0.000us         0.00%       0.000us       0.000us             2  
                                         aten::fft_ifft         0.18%       6.753us         3.65%     139.984us     139.984us       0.000us         0.00%     121.120us     121.120us             1  
                                  cudaStreamSynchronize         0.16%       6.221us         0.16%       6.221us       3.110us       0.000us         0.00%       0.000us       0.000us             2  
                                      aten::as_strided_         0.13%       4.809us         0.13%       4.809us       4.809us       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::detach         0.11%       4.278us         0.11%       4.278us       1.070us       0.000us         0.00%       0.000us       0.000us             4  
                                          aten::permute         0.11%       4.198us         0.14%       5.320us       5.320us       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::square         0.11%       4.028us         1.36%      52.128us      52.128us       0.000us         0.00%      23.104us      23.104us             1  
                                      aten::nan_to_num_         0.09%       3.347us         0.63%      24.166us      24.166us       0.000us         0.00%       8.256us       8.256us             1  
                                  cudaStreamIsCapturing         0.06%       2.435us         0.06%       2.435us       1.217us       0.000us         0.00%       0.000us       0.000us             2  
                                      aten::result_type         0.03%       1.012us         0.03%       1.012us       1.012us       0.000us         0.00%       0.000us       0.000us             1  
                                     aten::resolve_conj         0.02%       0.862us         0.02%       0.862us       0.431us       0.000us         0.00%       0.000us       0.000us             2  
                                      aten::resolve_neg         0.01%       0.290us         0.01%       0.290us       0.145us       0.000us         0.00%       0.000us       0.000us             2  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      26.816us        10.13%      26.816us      26.816us             1  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.816us         4.09%      10.816us      10.816us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.830ms
Self CUDA time total: 264.608us
