-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                    aten::mul        31.07%      12.290ms        31.20%      12.339ms      39.932us           309  
                    aten::pow        12.54%       4.960ms        12.58%       4.976ms     310.986us            16  
                    aten::exp        10.87%       4.300ms        10.87%       4.300ms       1.433ms             3  
                aten::addcmul         9.79%       3.873ms         9.79%       3.873ms     129.092us            30  
                    aten::add         6.69%       2.647ms         6.69%       2.647ms      26.472us           100  
                  aten::where         5.61%       2.219ms         5.64%       2.230ms     202.731us            11  
                    aten::sub         4.20%       1.662ms         4.20%       1.662ms      46.175us            36  
                    aten::neg         3.56%       1.408ms         3.56%       1.408ms     281.638us             5  
                  aten::copy_         3.25%       1.287ms         3.25%       1.287ms     107.248us            12  
                    aten::log         2.96%       1.170ms         2.96%       1.170ms     194.990us             6  
                    aten::div         2.08%     823.640us         2.08%     823.640us      24.959us            33  
                    aten::cat         0.84%     330.701us         1.05%     416.755us      37.887us            11  
                    aten::abs         0.57%     227.376us         0.89%     350.194us       3.648us            96  
                 aten::expand         0.54%     212.493us         0.66%     259.373us       2.947us            88  
            aten::bitwise_not         0.49%     192.464us         0.49%     192.464us       2.566us            75  
               aten::isfinite         0.48%     188.452us         1.88%     744.764us      15.516us            48  
                  aten::fill_         0.34%     132.830us         0.34%     132.830us      12.075us            11  
                     aten::eq         0.34%     132.547us         0.34%     132.547us       1.949us            68  
                     aten::lt         0.33%     131.527us         0.35%     137.158us      34.290us             4  
                     aten::ne         0.32%     128.515us         0.32%     128.515us       2.677us            48  
                     aten::ge         0.32%     128.112us         0.35%     137.870us      27.574us             5  
                 aten::select         0.28%     112.343us         0.34%     135.356us       3.760us            36  
             aten::as_strided         0.25%      97.206us         0.25%      97.206us       0.593us           164  
              aten::unsqueeze         0.17%      66.334us         0.21%      82.736us       4.355us            19  
               aten::_to_copy         0.14%      55.765us         3.46%       1.370ms     114.135us            12  
           aten::broadcast_to         0.14%      55.631us         0.47%     187.672us       3.910us            48  
                  aten::stack         0.14%      54.693us         0.49%     194.717us      21.635us             9  
                  aten::empty         0.13%      51.266us         0.13%      51.266us       0.743us            69  
                     aten::gt         0.12%      47.789us         0.12%      47.789us       3.413us            14  
                     aten::to         0.11%      44.520us         3.58%       1.414ms      14.284us            99  
                aten::nonzero         0.11%      43.623us         0.14%      57.159us       9.527us             6  
          aten::empty_strided         0.11%      42.900us         0.11%      42.900us       1.865us            23  
            aten::bitwise_and         0.10%      41.439us         0.10%      41.439us       4.604us             9  
                 aten::narrow         0.10%      40.006us         0.22%      86.054us       4.303us            20  
                   aten::rsub         0.10%      37.890us         0.17%      67.326us       4.208us            16  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 39.554ms
