         724 function calls in 0.020 seconds

   Ordered by: cumulative time
   List reduced from 123 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.020    0.020 profile-waveform.py:40(call)
        1    0.000    0.000    0.020    0.020 waveform.py:930(get_fd_waveform_batch)
        1    0.004    0.004    0.019    0.019 taylorf2_torch.py:1247(taylorf2_fd_batch)
        3    0.004    0.001    0.004    0.001 {built-in method torch.exp}
        3    0.004    0.001    0.004    0.001 {built-in method torch.pow}
        2    0.001    0.000    0.002    0.001 taylorf2_torch.py:701(_evaluate_phase_polynomial)
        1    0.000    0.000    0.002    0.002 taylorf2_torch.py:364(taylorf2_aligned_phasing)
       30    0.001    0.000    0.001    0.000 {built-in method torch.addcmul}
        1    0.000    0.000    0.001    0.001 taylorf2_torch.py:296(_apply_spin_terms)
        6    0.000    0.000    0.000    0.000 {built-in method torch.log}
       48    0.000    0.000    0.000    0.000 {built-in method torch.isfinite}
        1    0.000    0.000    0.000    0.000 taylorf2_torch.py:1386(<listcomp>)
       11    0.000    0.000    0.000    0.000 {built-in method torch.where}
        6    0.000    0.000    0.000    0.000 taylorf2_torch.py:1177(_batch_validate)
        1    0.000    0.000    0.000    0.000 taylorf2_torch.py:345(_apply_tidal_terms)
        3    0.000    0.000    0.000    0.000 taylorf2_torch.py:464(stack_coefficients)
        1    0.000    0.000    0.000    0.000 taylorf2_torch.py:1218(_batch_contact_frequency)
        4    0.000    0.000    0.000    0.000 {method 'to' of 'torch._C.TensorBase' objects}
       32    0.000    0.000    0.000    0.000 _tensor.py:32(wrapped)
        2    0.000    0.000    0.000    0.000 {built-in method torch.cat}
        6    0.000    0.000    0.000    0.000 taylorf2_torch.py:1185(<listcomp>)
        3    0.000    0.000    0.000    0.000 taylorf2_torch.py:466(<listcomp>)
        4    0.000    0.000    0.000    0.000 {built-in method torch.zeros_like}
        2    0.000    0.000    0.000    0.000 taylorf2_torch.py:1227(compactness)
        2    0.000    0.000    0.000    0.000 taylorf2_torch.py:1204(_batch_eos_q_from_lambda)
        2    0.000    0.000    0.000    0.000 taylorf2_torch.py:181(_f2_5pn_so)
        9    0.000    0.000    0.000    0.000 {built-in method torch.stack}
        2    0.000    0.000    0.000    0.000 taylorf2_torch.py:267(_f2_14pn_tidal)
        2    0.000    0.000    0.000    0.000 taylorf2_torch.py:193(_f2_7pn_so)
       11    0.000    0.000    0.000    0.000 taylorf2_torch.py:1098(_batch_tensor)
        4    0.000    0.000    0.000    0.000 taylorf2_torch.py:1198(_batch_require)
       59    0.000    0.000    0.000    0.000 {built-in method torch.as_tensor}
       48    0.000    0.000    0.000    0.000 {built-in method torch.broadcast_to}
        2    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       16    0.000    0.000    0.000    0.000 _tensor.py:1106(__rsub__)


