-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       cudaLaunchKernel        26.89%       7.447ms        26.89%       7.447ms       8.433us       0.000us         0.00%       0.000us       0.000us           883  
                                              aten::mul        14.26%       3.950ms        22.87%       6.334ms      20.497us     357.683us        31.42%     357.683us       1.158us           309  
                                Activity Buffer Request        12.60%       3.489ms        12.60%       3.489ms       3.489ms       0.384us         0.03%       0.384us       0.384us             1  
                                              aten::add         4.39%       1.215ms         7.01%       1.940ms      19.402us     115.806us        10.17%     115.806us       1.158us           100  
                                      aten::bitwise_not         3.67%       1.017ms         5.84%       1.617ms      21.561us      80.988us         7.11%      80.988us       1.080us            75  
                                              aten::abs         3.60%     996.767us        13.31%       3.685ms      38.389us      48.481us         4.26%      96.962us       1.010us            96  
                                               aten::eq         3.59%     993.157us         5.81%       1.608ms      23.652us      82.878us         7.28%      82.878us       1.219us            68  
                                               aten::ne         3.36%     929.442us         5.01%       1.386ms      28.879us      56.608us         4.97%      56.608us       1.179us            48  
                                         aten::isfinite         2.48%     685.867us        23.61%       6.537ms     136.189us       0.000us         0.00%     217.508us       4.531us            48  
                                          aten::addcmul         1.82%     502.791us         2.98%     824.522us      27.484us      40.255us         3.54%      40.255us       1.342us            30  
                                            aten::empty         1.64%     455.139us         1.64%     455.139us       7.224us       0.000us         0.00%       0.000us       0.000us            63  
                                              aten::sub         1.62%     448.241us         2.62%     726.207us      20.172us      42.659us         3.75%      42.659us       1.185us            36  
                                              aten::div         1.43%     396.172us         2.34%     648.308us      19.646us      40.960us         3.60%      40.960us       1.241us            33  
                                          aten::resize_         1.28%     353.194us         1.28%     353.194us       5.351us       0.000us         0.00%       0.000us       0.000us            66  
                                           aten::expand         1.15%     319.351us         1.40%     387.813us       4.407us       0.000us         0.00%       0.000us       0.000us            88  
                                          aten::nonzero         1.11%     308.209us         2.31%     640.845us     106.807us      26.208us         2.30%      26.208us       4.368us             6  
                                              aten::pow         1.09%     301.020us         1.76%     487.700us      30.481us      67.456us         5.92%      67.456us       4.216us            16  
                                        cudaMemcpyAsync         1.00%     278.161us         1.00%     278.161us      11.590us       0.000us         0.00%       0.000us       0.000us            24  
                                    aten::empty_strided         0.97%     269.619us         0.97%     269.619us       8.426us       0.000us         0.00%       0.000us       0.000us            32  
                                              aten::cat         0.85%     235.282us         1.67%     461.619us      41.965us      28.288us         2.48%      28.288us       2.572us            11  
                                           aten::select         0.82%     227.984us         0.98%     270.820us       7.523us       0.000us         0.00%       0.000us       0.000us            36  
                                               aten::gt         0.82%     226.117us         1.23%     340.230us      24.302us      16.897us         1.48%      16.897us       1.207us            14  
                                            aten::copy_         0.70%     193.380us        14.07%       3.895ms     185.499us       9.729us         0.85%      10.113us       0.482us            21  
                                         aten::_to_copy         0.66%     182.349us        15.39%       4.260ms     202.871us       0.000us         0.00%      10.113us       0.482us            21  
                                            aten::where         0.64%     176.071us         1.39%     386.218us      35.111us      12.865us         1.13%      12.865us       1.170us            11  
                                       aten::as_strided         0.59%     164.718us         0.59%     164.718us       1.049us       0.000us         0.00%       0.000us       0.000us           157  
                                      aten::bitwise_and         0.46%     128.191us         0.72%     199.275us      22.142us      10.271us         0.90%      10.271us       1.141us             9  
                                               aten::to         0.41%     112.459us        15.79%       4.373ms      48.052us       0.000us         0.00%      10.113us       0.111us            91  
                                        aten::unsqueeze         0.37%     102.273us         0.48%     132.359us       6.966us       0.000us         0.00%       0.000us       0.000us            19  
                                            aten::stack         0.33%      92.052us         1.78%     492.377us      54.709us       0.000us         0.00%      25.536us       2.837us             9  
                                            aten::fill_         0.32%      88.723us         0.73%     202.744us      16.895us      10.689us         0.94%      10.689us       0.891us            12  
                                            aten::clamp         0.31%      86.404us         0.47%     130.697us      21.783us       9.025us         0.79%       9.025us       1.504us             6  
                                     aten::broadcast_to         0.31%      86.146us         1.04%     287.065us       5.981us       0.000us         0.00%       0.000us       0.000us            48  
                                               aten::ge         0.31%      84.521us         0.49%     136.919us      27.384us       7.712us         0.68%       7.712us       1.542us             5  
                                  cudaStreamSynchronize         0.30%      81.874us         0.30%      81.874us       4.309us       0.000us         0.00%       0.000us       0.000us            19  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 27.690ms
Self CUDA time total: 1.139ms
