-----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
         aten::_fft_c2c        35.51%        1.660s        40.03%        1.871s      14.620ms           128  
            aten::copy_        18.69%     873.777ms        18.69%     873.777ms       2.270ms           385  
              aten::sum        17.52%     819.261ms        23.93%        1.119s        1.119s             1  
              aten::pow        13.88%     649.137ms        13.88%     649.141ms     649.141ms             1  
            aten::fill_         6.41%     299.501ms         6.41%     299.501ms     299.501ms             1  
           aten::argmax         3.99%     186.749ms         3.99%     186.753ms     186.753ms             1  
              aten::mul         2.59%     121.037ms        10.69%     499.881ms     499.881ms             1  
              aten::cat         1.11%      51.847ms         1.11%      51.847ms      51.847ms             1  
            aten::slice         0.14%       6.734ms         0.18%       8.217ms       5.346us          1537  
       aten::as_strided         0.04%       1.772ms         0.04%       1.772ms       1.062us          1669  
            aten::empty         0.03%       1.317ms         0.03%       1.317ms      10.208us           129  
         aten::fft_ifft         0.03%       1.209ms        40.05%        1.873s      14.630ms           128  
      aten::as_strided_         0.02%     821.646us         0.02%     821.646us       6.419us           128  
          aten::permute         0.01%     562.128us         0.02%     823.199us       6.431us           128  
          aten::reshape         0.01%     337.841us         0.01%     603.840us       4.609us           131  
             aten::view         0.01%     282.771us         0.01%     282.771us       2.110us           134  
            aten::stack         0.00%     147.009us         1.11%      51.996ms      51.996ms             1  
          aten::resize_         0.00%     126.330us         0.00%     126.330us       0.979us           129  
            aten::index         0.00%      94.568us         0.00%     111.340us     111.340us             1  
    aten::empty_strided         0.00%      37.651us         0.00%      37.651us      37.651us             1  
           aten::arange         0.00%      37.161us         0.00%      79.351us      39.675us             2  
            aten::clone         0.00%      30.328us         8.10%     378.844ms     378.844ms             1  
           aten::square         0.00%      10.319us        13.89%     649.151ms     649.151ms             1  
     aten::view_as_real         0.00%       8.997us         0.00%       8.997us       8.997us             1  
               aten::to         0.00%       4.509us         0.00%       4.509us       0.902us             5  
           aten::detach         0.00%       4.257us         0.00%       4.257us       1.064us             4  
      aten::result_type         0.00%       2.144us         0.00%       2.144us       2.144us             1  
     aten::resolve_conj         0.00%       0.962us         0.00%       0.962us       0.481us             2  
      aten::resolve_neg         0.00%       0.300us         0.00%       0.300us       0.150us             2  
-----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.675s
