         1140 function calls (1134 primitive calls) in 0.109 seconds

   Ordered by: cumulative time
   List reduced from 117 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.109    0.109 matchedfilter.py:2501(process_data)
        1    0.000    0.000    0.109    0.109 matchedfilter.py:2506(process_all)
        2    0.000    0.000    0.109    0.054 matchedfilter.py:2776(_process_batch)
        1    0.000    0.000    0.067    0.067 torchfft.py:1414(execute)
        1    0.000    0.000    0.067    0.067 torchfft.py:1330(_execute_batched_ifft)
        1    0.000    0.000    0.067    0.067 torchfft.py:1229(_execute_promoted_torch_batch_plan)
        1    0.000    0.000    0.067    0.067 torchfft.py:1187(execute)
        4    0.058    0.014    0.058    0.014 {built-in method torch._C._fft.fft_ifft}
        1    0.000    0.000    0.035    0.035 matchedfilter.py:2091(_torch_batch_peak_values)
        1    0.027    0.027    0.027    0.027 {method 'sum' of 'torch._C.TensorBase' objects}
        8    0.009    0.001    0.009    0.001 {method 'copy_' of 'torch._C.TensorBase' objects}
        1    0.006    0.006    0.006    0.006 {built-in method torch.argmax}
        1    0.000    0.000    0.006    0.006 scheme.py:432(_scheming_function)
        1    0.000    0.000    0.006    0.006 matchedfilter_torch.py:1040(batch_correlate_execute)
        1    0.003    0.003    0.003    0.003 {built-in method torch.mul}
        1    0.003    0.003    0.003    0.003 {method 'square' of 'torch._C.TensorBase' objects}
        1    0.002    0.002    0.002    0.002 {built-in method torch.stack}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       65    0.000    0.000    0.000    0.000 matchedfilter_torch.py:1070(<genexpr>)
        1    0.000    0.000    0.000    0.000 matchedfilter.py:2146(_torch_batch_peak_magnitudes)
        1    0.000    0.000    0.000    0.000 matchedfilter_torch.py:1121(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.fromiter}
        2    0.000    0.000    0.000    0.000 matchedfilter_torch.py:572(_find_uniform_stride)
  168/162    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       33    0.000    0.000    0.000    0.000 matchedfilter.py:2162(<genexpr>)
        1    0.000    0.000    0.000    0.000 torchfft.py:1269(_can_use_direct_batch_ifft)
        1    0.000    0.000    0.000    0.000 matchedfilter_torch.py:184(_has_dynamic_autograd_state)
        1    0.000    0.000    0.000    0.000 matchedfilter.py:2533(_process_vetoes)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        4    0.000    0.000    0.000    0.000 <frozen _collections_abc>:771(get)
        1    0.000    0.000    0.000    0.000 torchfft.py:1099(_batch_logical_views)
        1    0.000    0.000    0.000    0.000 matchedfilter.py:2494(combine_results)
        1    0.000    0.000    0.000    0.000 torchfft.py:1089(_batch_views)
       66    0.000    0.000    0.000    0.000 matchedfilter_torch.py:186(<genexpr>)
       33    0.000    0.000    0.000    0.000 matchedfilter_torch.py:1061(<genexpr>)
        3    0.000    0.000    0.000    0.000 matchedfilter.py:59(_torch_inference_mode_context)
        4    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
        3    0.000    0.000    0.000    0.000 backend.py:60(backend_array)
        2    0.000    0.000    0.000    0.000 {method 'view' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.000    0.000 {built-in method torch.arange}
        1    0.000    0.000    0.000    0.000 {method 'reshape' of 'torch._C.TensorBase' objects}
       33    0.000    0.000    0.000    0.000 matchedfilter_torch.py:1064(<genexpr>)
       65    0.000    0.000    0.000    0.000 matchedfilter_torch.py:1068(<genexpr>)
       33    0.000    0.000    0.000    0.000 {method 'item' of 'numpy.generic' objects}
        3    0.000    0.000    0.000    0.000 grad_mode.py:290(__enter__)


