----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
             aten::sum        41.86%     820.575ms        57.06%        1.119s        1.119s             1  
             aten::pow        33.40%     654.717ms        33.40%     654.720ms     654.720ms             1  
           aten::fill_        15.20%     297.964ms        15.20%     297.964ms     297.964ms             1  
          aten::argmax         9.52%     186.619ms         9.52%     186.623ms     186.623ms             1  
           aten::index         0.00%      94.078us         0.01%     112.473us     112.473us             1  
          aten::arange         0.00%      34.163us         0.00%      73.328us      36.664us             2  
      aten::as_strided         0.00%      20.238us         0.00%      20.238us       5.059us             4  
          aten::square         0.00%      16.541us        33.40%     654.737ms     654.737ms             1  
            aten::view         0.00%      15.810us         0.00%      15.810us       5.270us             3  
          aten::detach         0.00%      14.698us         0.00%      14.698us       2.450us             6  
         aten::reshape         0.00%      11.982us         0.00%      27.792us       9.264us             3  
           aten::slice         0.00%      11.632us         0.00%      15.349us      15.349us             1  
    aten::view_as_real         0.00%       9.738us         0.00%       9.738us       9.738us             1  
              aten::to         0.00%       7.885us         0.00%       7.885us       1.314us             6  
           aten::empty         0.00%       6.873us         0.00%       6.873us       6.873us             1  
         aten::resize_         0.00%       5.411us         0.00%       5.411us       5.411us             1  
     aten::result_type         0.00%       2.265us         0.00%       2.265us       2.265us             1  
    aten::resolve_conj         0.00%       1.754us         0.00%       1.754us       0.585us             3  
     aten::resolve_neg         0.00%       0.611us         0.00%       0.611us       0.204us             3  
----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.960s
