-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        cudaMemcpyAsync        53.84%       8.777ms        53.84%       8.777ms       4.389ms       0.000us         0.00%       0.000us       0.000us             2  
                                            aten::slice        19.90%       3.245ms        23.88%       3.893ms       3.575us       0.000us         0.00%       0.000us       0.000us          1089  
                                         aten::_fft_c2c         4.94%     805.504us        14.75%       2.405ms      75.144us       3.677ms        27.20%       4.718ms     147.447us            32  
                                       aten::as_strided         4.12%     672.042us         4.12%     672.042us       0.598us       0.000us         0.00%       0.000us       0.000us          1124  
                                         cuLaunchKernel         2.75%     447.968us         2.75%     447.968us       6.999us       0.000us         0.00%       0.000us       0.000us            64  
                                            aten::empty         2.42%     394.002us         2.42%     394.002us       6.062us       0.000us         0.00%       0.000us       0.000us            65  
                                       cudaLaunchKernel         2.29%     374.039us         2.29%     374.039us       7.792us       0.000us         0.00%       0.000us       0.000us            48  
                                              aten::mul         2.07%     338.069us         3.83%     623.749us      18.901us       2.261ms        16.73%       3.450ms     104.551us            33  
                                Activity Buffer Request         1.66%     269.830us         1.66%     269.830us     269.830us       1.151ms         8.52%       1.151ms       1.151ms             1  
                                              aten::cat         1.41%     230.566us         3.58%     583.714us     583.714us       1.151ms         8.52%       2.303ms       2.303ms             1  
                                         aten::fft_ifft         0.61%      98.773us        15.36%       2.503ms      78.231us       0.000us         0.00%       4.718ms     147.447us            32  
                                            aten::stack         0.57%      92.905us         4.17%     679.124us     679.124us       0.000us         0.00%       2.303ms       2.303ms             1  
                                          aten::permute         0.49%      80.615us         0.60%      98.619us       3.082us       0.000us         0.00%       0.000us       0.000us            32  
                                          aten::reshape         0.39%      64.132us         0.57%      92.303us       2.637us       0.000us         0.00%       0.000us       0.000us            35  
                                      aten::as_strided_         0.30%      48.582us         0.30%      48.582us       1.518us       0.000us         0.00%       0.000us       0.000us            32  
                                            aten::index         0.26%      42.481us         0.38%      61.146us      61.146us       5.504us         0.04%       5.504us       5.504us             1  
                                              aten::pow         0.25%      40.728us         0.36%      58.160us      58.160us       2.076ms        15.36%       2.076ms       2.076ms             1  
                                            aten::copy_         0.24%      39.725us        54.20%       8.836ms       2.945ms       1.192ms         8.82%       1.192ms     397.284us             3  
                                             aten::view         0.22%      36.456us         0.22%      36.456us       0.959us       0.000us         0.00%       0.000us       0.000us            38  
                                    aten::empty_strided         0.16%      26.571us         0.16%      26.571us       8.857us       0.000us         0.00%       0.000us       0.000us             3  
                                              aten::sum         0.15%      24.175us         0.22%      35.637us      35.637us       1.603ms        11.86%       1.603ms       1.603ms             1  
                                           aten::argmax         0.14%      22.282us         0.20%      32.051us      32.051us     551.238us         4.08%     551.238us     551.238us             1  
                                          aten::resize_         0.13%      21.650us         0.13%      21.650us       0.656us       0.000us         0.00%       0.000us       0.000us            33  
                                           aten::arange         0.11%      17.813us         0.39%      63.731us      31.865us       1.248us         0.01%       2.496us       1.248us             2  
                                            aten::clone         0.10%      16.050us         0.42%      67.908us      67.908us       0.000us         0.00%       1.189ms       1.189ms             1  
                                         aten::_to_copy         0.08%      13.185us        54.13%       8.824ms       4.412ms       0.000us         0.00%       3.168us       1.584us             2  
                                       aten::nan_to_num         0.07%      11.651us         0.12%      20.258us      20.258us       1.001ms         7.40%       1.001ms       1.001ms             1  
                                  cudaDeviceSynchronize         0.06%       9.878us         0.06%       9.878us       4.939us       0.000us         0.00%       0.000us       0.000us             2  
                                     aten::view_as_real         0.06%       9.348us         0.06%       9.348us       9.348us       0.000us         0.00%       0.000us       0.000us             1  
                                               aten::to         0.05%       8.415us        54.18%       8.832ms       1.766ms       0.000us         0.00%       3.168us       0.634us             5  
                                  cudaStreamSynchronize         0.04%       5.811us         0.04%       5.811us       2.905us       0.000us         0.00%       0.000us       0.000us             2  
                                           aten::detach         0.03%       4.227us         0.03%       4.227us       1.057us       0.000us         0.00%       0.000us       0.000us             4  
                                           aten::square         0.03%       4.117us         0.38%      62.277us      62.277us       0.000us         0.00%       2.076ms       2.076ms             1  
                                      aten::nan_to_num_         0.02%       3.527us         0.15%      23.785us      23.785us       0.000us         0.00%       1.001ms       1.001ms             1  
                                  cudaStreamIsCapturing         0.01%       2.294us         0.01%       2.294us       1.147us       0.000us         0.00%       0.000us       0.000us             2  
                                      aten::result_type         0.01%       1.092us         0.01%       1.092us       1.092us       0.000us         0.00%       0.000us       0.000us             1  
                                     aten::resolve_conj         0.01%       0.832us         0.01%       0.832us       0.416us       0.000us         0.00%       0.000us       0.000us             2  
                                      aten::resolve_neg         0.00%       0.300us         0.00%       0.300us       0.150us       0.000us         0.00%       0.000us       0.000us             2  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.151ms         8.52%       1.151ms     143.909us             8  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.189ms         8.79%       1.189ms       1.189ms             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 16.302ms
Self CUDA time total: 13.520ms
