-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                    aten::mul        33.90%      14.796ms        34.02%      14.849ms      40.024us           371  
                    aten::add        21.38%       9.331ms        21.38%       9.331ms      58.317us           160  
                    aten::exp         9.84%       4.296ms         9.84%       4.296ms       1.432ms             3  
                    aten::pow         9.75%       4.256ms         9.79%       4.273ms     267.080us            16  
                    aten::sub         4.29%       1.873ms         4.29%       1.873ms      52.028us            36  
                  aten::where         4.11%       1.794ms         4.13%       1.804ms     163.979us            11  
                  aten::copy_         2.99%       1.303ms         2.99%       1.303ms     108.614us            12  
                aten::addcmul         2.71%       1.184ms         2.71%       1.184ms      39.479us            30  
                    aten::neg         2.31%       1.010ms         2.31%       1.010ms     201.940us             5  
                    aten::log         1.14%     496.700us         1.14%     496.700us      82.783us             6  
                    aten::cat         0.76%     330.668us         0.95%     415.457us      37.769us            11  
                 aten::select         0.68%     297.015us         0.82%     358.257us       3.732us            96  
                    aten::abs         0.53%     231.269us         0.84%     368.302us       3.836us            96  
                 aten::expand         0.47%     206.274us         0.58%     252.872us       2.874us            88  
               aten::isfinite         0.43%     189.447us         1.75%     764.514us      15.927us            48  
            aten::bitwise_not         0.42%     184.643us         0.42%     184.643us       2.462us            75  
                    aten::div         0.35%     150.864us         0.35%     150.864us       4.572us            33  
                     aten::eq         0.32%     140.078us         0.32%     140.078us       2.060us            68  
             aten::as_strided         0.31%     136.495us         0.31%     136.495us       0.609us           224  
                     aten::lt         0.30%     133.022us         0.32%     138.763us      34.691us             4  
                     aten::ne         0.30%     132.912us         0.30%     132.912us       2.769us            48  
                     aten::ge         0.29%     126.999us         0.32%     138.280us      27.656us             5  
                  aten::fill_         0.28%     124.344us         0.28%     124.344us      11.304us            11  
              aten::unsqueeze         0.18%      78.078us         0.22%      96.022us       5.054us            19  
               aten::_to_copy         0.13%      58.391us         3.18%       1.390ms     115.846us            12  
           aten::broadcast_to         0.13%      56.024us         0.41%     178.288us       3.714us            48  
                  aten::stack         0.12%      53.620us         0.45%     195.049us      21.672us             9  
                  aten::empty         0.12%      52.693us         0.12%      52.693us       0.764us            69  
                     aten::gt         0.11%      48.341us         0.11%      48.341us       3.453us            14  
                     aten::to         0.10%      44.490us         3.29%       1.435ms      14.491us            99  
                aten::nonzero         0.10%      43.930us         0.13%      57.878us       9.646us             6  
          aten::empty_strided         0.10%      43.753us         0.10%      43.753us       1.902us            23  
            aten::bitwise_and         0.10%      43.052us         0.10%      43.052us       4.784us             9  
                 aten::narrow         0.09%      39.274us         0.19%      84.789us       4.239us            20  
                   aten::rsub         0.09%      38.062us         0.15%      66.554us       4.160us            16  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 43.647ms
