-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       cudaLaunchKernel        26.35%       6.498ms        26.35%       6.498ms       6.466us       0.000us         0.00%       0.000us       0.000us          1005  
                                              aten::mul        16.89%       4.166ms        26.60%       6.560ms      17.682us     433.187us        33.60%     433.187us       1.168us           371  
                                Activity Buffer Request        11.74%       2.895ms        11.74%       2.895ms       2.895ms       0.352us         0.03%       0.352us       0.352us             1  
                                              aten::add         6.71%       1.655ms        10.86%       2.680ms      16.747us     190.591us        14.78%     190.591us       1.191us           160  
                                      aten::bitwise_not         3.09%     762.067us         4.85%       1.197ms      15.957us      81.025us         6.28%      81.025us       1.080us            75  
                                               aten::eq         2.77%     683.941us         4.36%       1.075ms      15.807us      83.041us         6.44%      83.041us       1.221us            68  
                                              aten::abs         2.72%     670.879us         9.79%       2.415ms      25.153us      48.067us         3.73%      96.134us       1.001us            96  
                                               aten::ne         2.45%     604.894us         3.64%     898.939us      18.728us      56.229us         4.36%      56.229us       1.171us            48  
                                           aten::select         2.34%     577.517us         2.79%     687.882us       7.165us       0.000us         0.00%       0.000us       0.000us            96  
                                         aten::isfinite         1.81%     447.136us        18.27%       4.505ms      93.848us       0.000us         0.00%     216.809us       4.517us            48  
                                              aten::sub         1.58%     390.318us         2.50%     617.468us      17.152us      42.497us         3.30%      42.497us       1.180us            36  
                                              aten::div         1.47%     363.126us         2.35%     579.736us      17.568us      40.801us         3.16%      40.801us       1.236us            33  
                                            aten::empty         1.41%     347.675us         1.41%     347.675us       5.519us       0.000us         0.00%       0.000us       0.000us            63  
                                          aten::addcmul         1.40%     345.025us         2.15%     529.631us      17.654us      41.695us         3.23%      41.695us       1.390us            30  
                                          aten::nonzero         1.12%     276.408us         2.36%     580.929us      96.822us      26.465us         2.05%      26.465us       4.411us             6  
                                              aten::pow         1.09%     268.612us         1.62%     399.317us      24.957us      67.424us         5.23%      67.424us       4.214us            16  
                                           aten::expand         1.08%     267.060us         1.35%     333.489us       3.790us       0.000us         0.00%       0.000us       0.000us            88  
                                          aten::resize_         1.02%     251.538us         1.02%     251.538us       3.811us       0.000us         0.00%       0.000us       0.000us            66  
                                        cudaMemcpyAsync         0.93%     228.988us         0.93%     228.988us       9.541us       0.000us         0.00%       0.000us       0.000us            24  
                                       aten::as_strided         0.87%     213.714us         0.87%     213.714us       0.985us       0.000us         0.00%       0.000us       0.000us           217  
                                    aten::empty_strided         0.86%     212.695us         0.86%     212.695us       6.647us       0.000us         0.00%       0.000us       0.000us            32  
                                              aten::cat         0.82%     202.703us         1.55%     383.015us      34.820us      28.320us         2.20%      28.320us       2.575us            11  
                                               aten::gt         0.77%     188.759us         1.17%     287.925us      20.566us      16.833us         1.31%      16.833us       1.202us            14  
                                            aten::where         0.61%     150.922us         1.41%     347.256us      31.569us      12.831us         1.00%      12.831us       1.166us            11  
                                         aten::_to_copy         0.58%     143.543us        14.19%       3.500ms     166.668us       0.000us         0.00%      10.177us       0.485us            21  
                                            aten::copy_         0.57%     140.003us        13.03%       3.215ms     153.077us       9.825us         0.76%      10.177us       0.485us            21  
                                      aten::bitwise_and         0.46%     114.306us         0.70%     172.066us      19.118us      10.178us         0.79%      10.178us       1.131us             9  
                                               aten::to         0.42%     103.334us        14.61%       3.603ms      39.597us       0.000us         0.00%      10.177us       0.112us            91  
                                     aten::broadcast_to         0.38%      92.787us         1.09%     268.476us       5.593us       0.000us         0.00%       0.000us       0.000us            48  
                                        aten::unsqueeze         0.37%      90.581us         0.43%     107.022us       5.633us       0.000us         0.00%       0.000us       0.000us            19  
                                            aten::clamp         0.34%      84.341us         0.52%     127.210us      21.202us       8.961us         0.70%       8.961us       1.493us             6  
                                            aten::stack         0.32%      78.881us         1.70%     419.755us      46.639us       0.000us         0.00%      25.568us       2.841us             9  
                                  cudaStreamSynchronize         0.31%      77.166us         0.31%      77.166us       4.061us       0.000us         0.00%       0.000us       0.000us            19  
                                            aten::fill_         0.30%      74.955us         0.64%     158.561us      13.213us      10.752us         0.83%      10.752us       0.896us            12  
                                             aten::rsub         0.27%      67.140us         1.41%     348.682us      21.793us       0.000us         0.00%      18.370us       1.148us            16  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 24.663ms
Self CUDA time total: 1.289ms
