         766 function calls in 0.013 seconds

   Ordered by: cumulative time
   List reduced from 149 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.013    0.013 profile-waveform.py:40(call)
        1    0.000    0.000    0.013    0.013 waveform.py:930(get_fd_waveform_batch)
        1    0.001    0.001    0.013    0.013 taylorf2_torch.py:1221(taylorf2_fd_batch)
        1    0.000    0.000    0.004    0.004 taylorf2_torch.py:364(taylorf2_aligned_phasing)
        2    0.002    0.001    0.002    0.001 taylorf2_torch.py:701(_evaluate_phase_polynomial)
        1    0.001    0.001    0.002    0.002 taylorf2_torch.py:296(_apply_spin_terms)
       48    0.002    0.000    0.002    0.000 {built-in method torch.isfinite}
        1    0.000    0.000    0.002    0.002 taylorf2_torch.py:1360(<listcomp>)
        6    0.000    0.000    0.001    0.000 taylorf2_torch.py:1151(_batch_validate)
        1    0.000    0.000    0.001    0.001 taylorf2_torch.py:345(_apply_tidal_terms)
        1    0.000    0.000    0.001    0.001 taylorf2_torch.py:1192(_batch_contact_frequency)
        6    0.001    0.000    0.001    0.000 taylorf2_torch.py:1159(<listcomp>)
       32    0.000    0.000    0.001    0.000 _tensor.py:32(wrapped)
        4    0.000    0.000    0.000    0.000 taylorf2_torch.py:1172(_batch_require)
        2    0.000    0.000    0.000    0.000 taylorf2_torch.py:1201(compactness)
        2    0.000    0.000    0.000    0.000 taylorf2_torch.py:267(_f2_14pn_tidal)
        2    0.000    0.000    0.000    0.000 taylorf2_torch.py:193(_f2_7pn_so)
        2    0.000    0.000    0.000    0.000 taylorf2_torch.py:1178(_batch_eos_q_from_lambda)
        2    0.000    0.000    0.000    0.000 taylorf2_torch.py:181(_f2_5pn_so)
       30    0.000    0.000    0.000    0.000 {built-in method torch.addcmul}
        3    0.000    0.000    0.000    0.000 taylorf2_torch.py:464(stack_coefficients)
       11    0.000    0.000    0.000    0.000 taylorf2_torch.py:1072(_batch_tensor)
       59    0.000    0.000    0.000    0.000 {built-in method torch.as_tensor}
        6    0.000    0.000    0.000    0.000 {built-in method torch.nonzero}
        9    0.000    0.000    0.000    0.000 {built-in method torch.stack}
       16    0.000    0.000    0.000    0.000 _tensor.py:1106(__rsub__)
        2    0.000    0.000    0.000    0.000 taylorf2_torch.py:253(_f2_12pn_tidal)
       16    0.000    0.000    0.000    0.000 {built-in method torch.rsub}
        3    0.000    0.000    0.000    0.000 taylorf2_torch.py:466(<listcomp>)
        2    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       18    0.000    0.000    0.000    0.000 taylorf2_torch.py:1367(<genexpr>)
       11    0.000    0.000    0.000    0.000 {built-in method torch.where}
       13    0.000    0.000    0.000    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
        2    0.000    0.000    0.000    0.000 taylorf2_torch.py:232(_f2_6pn_self2_s)
        2    0.000    0.000    0.000    0.000 taylorf2_torch.py:262(_f2_13pn_tidal)


