# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cycles:u' (time slices: 548190.994246801,548242.361700376)
# Event count (approx.): 131916619162
#
# Overhead  Command  Shared Object                                          Symbol                                                                                                                                                     
# ........  .......  .....................................................  ...........................................................................................................................................................
#
    21.50%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_cRadix4Inv_32fc
    15.90%  python   chisq_cpu.cpython-311-x86_64-linux-gnu.so              [.] __pyx_fuse_1_0__pyx_pw_5pycbc_6vetoes_9chisq_cpu_25point_chisq_code(_object*, _object*, _object*)
    10.76%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_cFftInv_Fact8_32fc
     9.92%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_cFft_BlkSplit_32fc
     9.26%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_cFft_BlkMerge_32fc
     5.75%  python   simd_threshold_cython.cpython-311-x86_64-linux-gnu.so  [.] _max_simple(float*, float*, float*, long*, long, long)
     4.56%  python   matchedfilter_cpu.cpython-311-x86_64-linux-gnu.so      [.] __pyx_pf_5pycbc_6filter_17matchedfilter_cpu_12_correlate(_object*, __Pyx_memviewslice, __Pyx_memviewslice, __Pyx_memviewslice) [clone ._omp_fn.0]
     4.06%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_cFftInv_Fact4_32fc
     3.23%  python   decompress_cpu_cython.cpython-311-x86_64-linux-gnu.so  [.] void _decomp_main_loop<float, std::complex<float> >(int, std::complex<float>*, double, long, long, float*, float*, float*, long, long)
     2.91%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] DOUBLE_add_FMA3__AVX2
     2.42%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_cBitRev1_Blk
     1.28%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] FLOAT_square_SSE41
     1.12%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _strided_to_contig_size8
     0.63%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _aligned_contig_cast_float_to_double
     0.62%  python   python3.11                                             [.] _PyEval_EvalFrameDefault
     0.56%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] FLOAT_add_FMA3__AVX2
     0.49%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] FLOAT_multiply_FMA3__AVX2
     0.30%  python   array_cpu.cpython-311-x86_64-linux-gnu.so              [.] __pyx_fuse_0__pyx_pw_5pycbc_5types_9array_cpu_49inner_real(_object*, _object*, _object*)
     0.26%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _aligned_contig_cast_double_to_float
     0.23%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] FLOAT_divide_FMA3__AVX2
     0.20%  python   libm.so.6                                              [.] __sincos_fma
     0.17%  python   python3.11                                             [.] _Py_dict_lookup
     0.16%  python   python3.11                                             [.] _PyObject_GenericGetAttrWithDict
     0.15%  python   libc.so.6                                              [.] __memset_avx2_unaligned_erms
     0.07%  python   ld-linux-x86-64.so.2                                   [.] _dl_find_dso_for_object
     0.06%  python   [unknown]                                              [k] 0xffffffff86400ba0
     0.06%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_cFftInv_Large_32fc
     0.05%  python   python3.11                                             [.] PyObject_GetAttr
     0.04%  python   python3.11                                             [.] object_new
     0.04%  python   python3.11                                             [.] _PyObject_GetMethod
     0.04%  python   python3.11                                             [.] method_dealloc
     0.04%  python   python3.11                                             [.] initialize_locals
     0.04%  python   libc.so.6                                              [.] unlink_chunk.isra.0
     0.03%  python   python3.11                                             [.] PyType_IsSubtype
     0.03%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] raw_array_assign_array
     0.03%  python   libhdf5.so.1000.0.0                                    [.] H5_hash_string
     0.03%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _typenum_fromtypeobj
