# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:u'
# Event count (approx.): 176804251613
#
# Overhead  Command     Shared Object                                          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ..........  .....................................................  ...........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    16.12%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cRadix4Inv_32fc
    11.86%  python      chisq_cpu.cpython-311-x86_64-linux-gnu.so              [.] __pyx_fuse_1_0__pyx_pw_5pycbc_6vetoes_9chisq_cpu_25point_chisq_code(_object*, _object*, _object*)
     8.06%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cFftInv_Fact8_32fc
     7.56%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cFft_BlkSplit_32fc
     6.99%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cFft_BlkMerge_32fc
     6.18%  python      libframel-9cd69e87.so.8.43.1                           [.] Frz_inflate_fast
     4.29%  python      simd_threshold_cython.cpython-311-x86_64-linux-gnu.so  [.] _max_simple(float*, float*, float*, long*, long, long)
     3.40%  python      matchedfilter_cpu.cpython-311-x86_64-linux-gnu.so      [.] __pyx_pf_5pycbc_6filter_17matchedfilter_cpu_12_correlate(_object*, __Pyx_memviewslice, __Pyx_memviewslice, __Pyx_memviewslice) [clone ._omp_fn.0]
     3.04%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cFftInv_Fact4_32fc
     2.41%  python      decompress_cpu_cython.cpython-311-x86_64-linux-gnu.so  [.] void _decomp_main_loop<float, std::complex<float> >(int, std::complex<float>*, double, long, long, float*, float*, float*, long, long)
     2.17%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] DOUBLE_add_FMA3__AVX2
     1.87%  python      libmkl_core.so                                         [.] mkl_serv_libm_sincospi
     1.83%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cBitRev1_Blk
     1.82%  python      libmkl_core.so                                         [.] mkl_serv_libm_sincospif
     1.62%  python      libframel-9cd69e87.so.8.43.1                           [.] FrCksumGnu
     1.27%  python      python3.11                                             [.] _PyEval_EvalFrameDefault
     0.96%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] FLOAT_square_SSE41
     0.84%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _strided_to_contig_size8
     0.82%  python      libframel-9cd69e87.so.8.43.1                           [.] Frz_adler32
     0.70%  python      libmkl_core.so                                         [.] mkl_serv_libm_sin
     0.65%  python      libmkl_core.so                                         [.] mkl_serv_libm_cos
     0.50%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _aligned_contig_cast_float_to_double
     0.47%  python      python3.11                                             [.] _Py_dict_lookup
     0.42%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] FLOAT_add_FMA3__AVX2
     0.39%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] FLOAT_multiply_FMA3__AVX2
     0.36%  python      python3.11                                             [.] gc_collect_main
     0.29%  python      liblal-8f7cb511.so.20.3.2                              [.] XLALIIRFilterReverseREAL4Vector
     0.28%  python      liblal-8f7cb511.so.20.3.2                              [.] XLALIIRFilterREAL4Vector
     0.26%  python      liblal-8f7cb511.so.20.3.2                              [.] XLALIIRFilterREAL8Vector
     0.25%  python      liblal-8f7cb511.so.20.3.2                              [.] XLALIIRFilterReverseREAL8Vector
     0.23%  python      array_cpu.cpython-311-x86_64-linux-gnu.so              [.] __pyx_fuse_0__pyx_pw_5pycbc_5types_9array_cpu_49inner_real(_object*, _object*, _object*)
     0.22%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] int introselect_<npy::double_tag, false, double>(double*, long*, long, long, long*, long*) [clone .isra.0]
     0.22%  python      python3.11                                             [.] deduce_unreachable
     0.20%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _aligned_contig_cast_double_to_float
     0.19%  python      python3.11                                             [.] visit_reachable
     0.19%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] handle_scalar
     0.18%  python      python3.11                                             [.] _PyObject_GenericGetAttrWithDict
     0.17%  python      libm.so.6                                              [.] __csqrtf
     0.17%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] FLOAT_divide_FMA3__AVX2
     0.17%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _aligned_strided_to_contig_size8
     0.16%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cRadix4FwdNorm_64fc
     0.16%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] int introselect_<npy::float_tag, false, float>(float*, long*, long, long, long*, long*) [clone .isra.0]
     0.15%  python      libm.so.6                                              [.] __sincos_fma
     0.14%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _aligned_contig_to_strided_size8
     0.14%  python      libc.so.6                                              [.] __memmove_avx_unaligned_erms
