# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles:u' (time slices: 546527.481453187,546576.831237823)
# Event count (approx.): 126801246102
#
# Overhead  Command  Shared Object                                          Symbol                                                                                                                                                     
# ........  .......  .....................................................  ...........................................................................................................................................................
#
    21.82%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_cRadix4Inv_32fc
    13.79%  python   chisq_cpu.cpython-311-x86_64-linux-gnu.so              [.] __pyx_fuse_0_0__pyx_pw_5pycbc_6vetoes_9chisq_cpu_21point_chisq_code(_object*, _object*, _object*)
    11.65%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_cFft_BlkMerge_32fc
    10.18%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_cFftInv_Fact8_32fc
     8.85%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_cFft_BlkSplit_32fc
     5.65%  python   simd_threshold_cython.cpython-311-x86_64-linux-gnu.so  [.] _max_simple(float*, float*, float*, long*, long, long)
     4.56%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_cFftInv_Fact4_32fc
     4.29%  python   matchedfilter_cpu.cpython-311-x86_64-linux-gnu.so      [.] __pyx_pf_5pycbc_6filter_17matchedfilter_cpu_12_correlate(_object*, __Pyx_memviewslice, __Pyx_memviewslice, __Pyx_memviewslice) [clone ._omp_fn.0]
     3.87%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] FLOAT_add_FMA3__AVX2
     3.19%  python   decompress_cpu_cython.cpython-311-x86_64-linux-gnu.so  [.] void _decomp_main_loop<float, std::complex<float> >(int, std::complex<float>*, double, long, long, float*, float*, float*, long, long)
     2.81%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_cBitRev1_Blk
     1.44%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] FLOAT_square_SSE41
     1.07%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _strided_to_contig_size8
     0.75%  python   python3.11                                             [.] _PyEval_EvalFrameDefault
     0.61%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] FLOAT_multiply_FMA3__AVX2
     0.39%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _aligned_contig_cast_float_to_double
     0.33%  python   libm.so.6                                              [.] __sincos_fma
     0.23%  python   libc.so.6                                              [.] __memmove_avx_unaligned_erms
     0.20%  python   array_cpu.cpython-311-x86_64-linux-gnu.so              [.] __pyx_fuse_0__pyx_pw_5pycbc_5types_9array_cpu_49inner_real(_object*, _object*, _object*)
     0.16%  python   python3.11                                             [.] _Py_dict_lookup
     0.16%  python   libc.so.6                                              [.] __memset_avx2_unaligned_erms
     0.13%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] FLOAT_divide_FMA3__AVX2
     0.11%  python   python3.11                                             [.] _PyObject_GenericGetAttrWithDict
     0.07%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_cFftInv_Large_32fc
     0.05%  python   libz.so.1.3.1                                          [.] inflate
     0.05%  python   python3.11                                             [.] PyObject_GetAttr
     0.04%  python   libc.so.6                                              [.] __strcmp_avx2
     0.04%  python   python3.11                                             [.] type_getattro
     0.04%  python   libhdf5.so.1000.0.0                                    [.] H5O__assert
     0.04%  python   python3.11                                             [.] PyType_IsSubtype
     0.04%  python   ld-linux-x86-64.so.2                                   [.] _dl_find_dso_for_object
     0.04%  python   libhdf5.so.1000.0.0                                    [.] H5_hash_string
     0.04%  python   python3.11                                             [.] dict_dealloc
     0.04%  python   python3.11                                             [.] method_vectorcall
     0.04%  python   python3.11                                             [.] _PyObject_GenericSetAttrWithDict
     0.03%  python   python3.11                                             [.] method_dealloc
     0.03%  python   libc.so.6                                              [.] _int_malloc
     0.03%  python   python3.11                                             [.] PyUnicode_Format
     0.03%  python   libhdf5.so.1000.0.0                                    [.] H5SL_search
     0.03%  python   libc.so.6                                              [.] malloc
     0.03%  python   python3.11                                             [.] long_to_decimal_string_internal
     0.03%  python   python3.11                                             [.] _PyDict_Next
     0.03%  python   python3.11                                             [.] PyTuple_New
     0.03%  python   [unknown]                                              [k] 0xffffffff8545ca57
     0.03%  python   python3.11                                             [.] tupledealloc
     0.02%  python   python3.11                                             [.] initialize_locals
     0.02%  python   libz.so.1.3.1                                          [.] inflate_fast
     0.02%  python   python3.11                                             [.] unicode_fromformat_write_cstr
