# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:u'
# Event count (approx.): 165629586928
#
# Overhead  Command  Shared Object                                          Symbol                                                                                                                                                     
# ........  .......  .....................................................  ...........................................................................................................................................................
#
    16.79%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_cRadix4Inv_32fc
    10.56%  python   chisq_cpu.cpython-311-x86_64-linux-gnu.so              [.] __pyx_fuse_0_0__pyx_pw_5pycbc_6vetoes_9chisq_cpu_21point_chisq_code(_object*, _object*, _object*)
     9.02%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_cFft_BlkMerge_32fc
     7.82%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_cFftInv_Fact8_32fc
     6.92%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_cFft_BlkSplit_32fc
     6.54%  python   libframel-9cd69e87.so.8.43.1                           [.] Frz_inflate_fast
     4.33%  python   simd_threshold_cython.cpython-311-x86_64-linux-gnu.so  [.] _max_simple(float*, float*, float*, long*, long, long)
     3.51%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_cFftInv_Fact4_32fc
     3.29%  python   matchedfilter_cpu.cpython-311-x86_64-linux-gnu.so      [.] __pyx_pf_5pycbc_6filter_17matchedfilter_cpu_12_correlate(_object*, __Pyx_memviewslice, __Pyx_memviewslice, __Pyx_memviewslice) [clone ._omp_fn.0]
     2.96%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] FLOAT_add_FMA3__AVX2
     2.67%  python   libmkl_core.so                                         [.] mkl_serv_libm_sincospif
     2.44%  python   decompress_cpu_cython.cpython-311-x86_64-linux-gnu.so  [.] void _decomp_main_loop<float, std::complex<float> >(int, std::complex<float>*, double, long, long, float*, float*, float*, long, long)
     2.20%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_cBitRev1_Blk
     1.71%  python   libframel-9cd69e87.so.8.43.1                           [.] FrCksumGnu
     1.22%  python   python3.11                                             [.] _PyEval_EvalFrameDefault
