# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u' (time slices: 548702.389501264,548709.610634503)
# Event count (approx.): 18118097312
#
# Overhead  Command  Shared Object                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  .......  .................................................  ...............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     6.69%  python   python3.11                                         [.] _PyEval_EvalFrameDefault
     5.16%  python   libcrypto.so.3                                     [.] sha256_block_data_order_shaext
     2.46%  python   [vdso]                                             [.] 0x0000000000000b03
     2.40%  python   libcuda.so.610.57.04                               [.] 0x0000000000458cd0
     1.91%  python   libc.so.6                                          [.] pthread_mutex_lock@@GLIBC_2.2.5
     1.38%  python   python3.11                                         [.] _PyObject_GenericGetAttrWithDict
     1.15%  python   python3.11                                         [.] _Py_dict_lookup
     0.79%  python   libcuda.so.610.57.04                               [.] 0x0000000000458cd1
     0.79%  python   libc.so.6                                          [.] pthread_mutex_unlock@@GLIBC_2.2.5
     0.72%  python   libcuda.so.610.57.04                               [.] 0x0000000000458cfe
     0.65%  python   libc10_cuda.so                                     [.] c10::cuda::CUDACachingAllocator::Native::NativeCachingAllocator::malloc(void**, signed char, unsigned long, CUstream_st*)
     0.65%  python   libc.so.6                                          [.] _int_malloc
     0.58%  python   python3.11                                         [.] object_dealloc
     0.51%  python   libcuda.so.610.57.04                               [.] 0x0000000000458d30
     0.51%  python   python3.11                                         [.] PyObject_GetAttr
     0.51%  python   libcuda.so.610.57.04                               [.] 0x0000000000458d5a
     0.51%  python   libcuda.so.610.57.04                               [.] 0x00000000003ee7e4
     0.51%  python   libc10_cuda.so                                     [.] std::_Rb_tree<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*, c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*, std::_Identity<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*>, bool (*)(c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block const*, c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block const*), std::allocator<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*> >::erase(c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block* const&)
     0.51%  python   python3.11                                         [.] PyObject_GC_Del
     0.50%  python   libcuda.so.610.57.04                               [.] 0x0000000000458d1a
     0.44%  python   libcuda.so.610.57.04                               [.] 0x000000000035c4c1
     0.44%  python   python3.11                                         [.] _PyObject_MakeTpCall
     0.43%  python   python3.11                                         [.] PyType_IsSubtype
     0.43%  python   ld-linux-x86-64.so.2                               [.] __tls_get_addr
     0.43%  python   libcuda.so.610.57.04                               [.] 0x0000000000458d27
     0.43%  python   libc.so.6                                          [.] cfree@GLIBC_2.2.5
     0.43%  python   libtorch_cpu.so                                    [.] c10::impl::OperatorEntry::lookup(c10::DispatchKeySet) const
     0.37%  python   libcuda.so.610.57.04                               [.] 0x0000000000458e6b
     0.36%  python   libc.so.6                                          [.] malloc
     0.36%  python   libcuda.so.610.57.04                               [.] 0x0000000001334bb0
     0.36%  python   libcuda.so.610.57.04                               [.] 0x000000000041b497
     0.36%  python   libcuda.so.610.57.04                               [.] 0x0000000000457a3d
     0.36%  python   python3.11                                         [.] tupledealloc
     0.36%  python   libc.so.6                                          [.] pthread_rwlock_unlock@@GLIBC_2.34
     0.36%  python   libtorch_cpu.so                                    [.] at::native::copy_impl(at::Tensor&, at::Tensor const&, bool) [clone .isra.0]
     0.36%  python   python3.11                                         [.] dict_dealloc
     0.31%  python   libc.so.6                                          [.] __memset_avx2_unaligned_erms
     0.29%  python   python3.11                                         [.] find_name_in_mro
     0.29%  python   libtorch_cpu.so                                    [.] at::TensorIteratorBase::compute_types(at::TensorIteratorConfig const&)
     0.29%  python   libcuda.so.610.57.04                               [.] 0x00000000002870b2
     0.29%  python   python3.11                                         [.] _PyType_AllocNoTrack
     0.29%  python   libc10_cuda.so                                     [.] c10::cuda::CUDACachingAllocator::Native::local_raw_delete(void*)
     0.29%  python   libtorch_python.so                                 [.] THPVariable_Wrap(at::TensorBase&&)
     0.29%  python   libcuda.so.610.57.04                               [.] 0x0000000000458e67
     0.29%  python   libstdc++.so.6.0.32                                [.] operator delete(void*)
     0.29%  python   python3.11                                         [.] PyEval_RestoreThread
     0.29%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] array_dealloc
     0.29%  python   libc10.so                                          [.] c10::AutogradState::get_tls_state()
     0.29%  python   libtorch_python.so                                 [.] torch::FunctionSignature::parse(_object*, _object*, _object*, _object**, std::vector<_object*, std::allocator<_object*> >&, bool)
     0.29%  python   libz.so.1.3.1                                      [.] inflate_fast
     0.29%  python   libtorch_cuda.so                                   [.] at::cuda::detail::(anonymous namespace)::_hasPrimaryContext(signed char)
     0.29%  python   python3.11                                         [.] type_getattro
     0.29%  python   libc.so.6                                          [.] __memmove_sse2_unaligned_erms
     0.28%  python   libc10_cuda.so                                     [.] c10::cuda::MaybeSetDevice(signed char)
     0.27%  python   libc.so.6                                          [.] memcpy@GLIBC_2.2.5
     0.22%  python   python3.11                                         [.] PyObject_Vectorcall
     0.22%  python   libc.so.6                                          [.] printf_positional
