# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:u'
# Event count (approx.): 57353535767
#
# Overhead  Command  Shared Object                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  .......  .................................................  ...............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    18.78%  python   libframel-9cd69e87.so.8.43.1                       [.] Frz_inflate_fast
     5.68%  python   libmkl_core.so                                     [.] mkl_serv_libm_sincospif
     4.98%  python   libframel-9cd69e87.so.8.43.1                       [.] FrCksumGnu
     4.51%  python   python3.11                                         [.] _PyEval_EvalFrameDefault
     2.67%  python   libframel-9cd69e87.so.8.43.1                       [.] Frz_adler32
     1.63%  python   libcrypto.so.3                                     [.] sha256_block_data_order_shaext
     1.55%  python   libmkl_core.so                                     [.] mkl_serv_libm_cos
     1.34%  python   libmkl_core.so                                     [.] mkl_serv_libm_sin
     1.33%  python   python3.11                                         [.] gc_collect_main
     1.17%  python   python3.11                                         [.] _Py_dict_lookup
     0.84%  python   liblal-8f7cb511.so.20.3.2                          [.] XLALIIRFilterREAL4Vector
     0.81%  python   liblal-8f7cb511.so.20.3.2                          [.] XLALIIRFilterReverseREAL4Vector
     0.78%  python   liblal-8f7cb511.so.20.3.2                          [.] XLALIIRFilterREAL8Vector
     0.78%  python   [vdso]                                             [.] 0x0000000000000b03
     0.76%  python   libcuda.so.610.57.04                               [.] 0x0000000000458cd0
     0.74%  python   python3.11                                         [.] deduce_unreachable
     0.74%  python   python3.11                                         [.] visit_reachable
     0.72%  python   python3.11                                         [.] _PyObject_GenericGetAttrWithDict
     0.70%  python   liblal-8f7cb511.so.20.3.2                          [.] XLALIIRFilterReverseREAL8Vector
     0.60%  python   libc.so.6                                          [.] pthread_mutex_lock@@GLIBC_2.2.5
     0.53%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] int introselect_<npy::float_tag, false, float>(float*, long*, long, long, long*, long*) [clone .isra.0]
     0.51%  python   libm.so.6                                          [.] __csqrtf
     0.45%  python   python3.11                                         [.] object_dealloc
     0.44%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] handle_scalar
     0.40%  python   libframel-9cd69e87.so.8.43.1                       [.] Frz_inflate_blocks
     0.40%  python   libframel-9cd69e87.so.8.43.1                       [.] Frz_inflate_codes
     0.39%  python   libc.so.6                                          [.] __memmove_avx_unaligned_erms
     0.38%  python   libmkl_def.so                                      [.] mkl_dft_def_owns_cFft_BlkSplit_32fc
     0.35%  python   libframel-9cd69e87.so.8.43.1                       [.] huft_build
     0.34%  python   python3.11                                         [.] tupledealloc
     0.33%  python   libc.so.6                                          [.] _int_malloc
     0.32%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] PyArray_Pack
     0.31%  python   libmkl_def.so                                      [.] mkl_dft_def_owns_cFft_BlkMerge_32fc
     0.31%  python   libm.so.6                                          [.] __powf_fma
     0.29%  python   python3.11                                         [.] dict_traverse
     0.29%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] _aligned_contig_to_strided_size4
     0.27%  python   libmkl_def.so                                      [.] mkl_dft_def_owns_initTabTwdBase_32f
     0.27%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] PyArray_AssignFromCache_Recursive
     0.26%  python   ld-linux-x86-64.so.2                               [.] do_lookup_x
     0.26%  python   python3.11                                         [.] sre_ucs1_match
     0.25%  python   libc.so.6                                          [.] cfree@GLIBC_2.2.5
     0.25%  python   libmkl_def.so                                      [.] mkl_dft_def_owns_cRadix4Inv_32fc
     0.25%  python   libcuda.so.610.57.04                               [.] 0x0000000000458cd1
     0.25%  python   libc.so.6                                          [.] pthread_mutex_unlock@@GLIBC_2.2.5
     0.25%  python   python3.11                                         [.] r_object
     0.25%  python   libmkl_def.so                                      [.] mkl_dft_def_owns_initTabTwd_L1_32f
     0.25%  python   libmkl_def.so                                      [.] compute_task_fwd
     0.24%  python   libc.so.6                                          [.] __memmove_avx_unaligned
     0.23%  python   libmkl_def.so                                      [.] mkl_dft_def_owns_cRadix4Fwd_32fc
     0.23%  python   libcuda.so.610.57.04                               [.] 0x0000000000458cfe
     0.22%  python   [unknown]                                          [k] 0xffffffff86400ba0
     0.22%  python   python3.11                                         [.] PyObject_GC_Del
     0.22%  python   python3.11                                         [.] dict_dealloc
     0.21%  python   python3.11                                         [.] PyObject_GetAttr
     0.21%  python   libc.so.6                                          [.] __memmove_sse2_unaligned_erms
     0.21%  python   libc10_cuda.so                                     [.] c10::cuda::CUDACachingAllocator::Native::NativeCachingAllocator::malloc(void**, signed char, unsigned long, CUstream_st*)
     0.20%  python   libmkl_def.so                                      [.] mkl_dft_def_owns_cRadix4FwdNorm_32fc
     0.19%  python   libc.so.6                                          [.] malloc
     0.19%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] _aligned_strided_to_contig_size4
     0.18%  python   python3.11                                         [.] func_traverse
     0.18%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] update_shape
     0.18%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] PyArray_DiscoverDTypeAndShape_Recursive
     0.17%  python   python3.11                                         [.] type_getattro
     0.17%  python   libmkl_def.so                                      [.] initTabTwd_Step
     0.17%  python   python3.11                                         [.] _PyFrame_Clear
     0.17%  python   libc.so.6                                          [.] __memcmp_avx2_movbe
     0.16%  python   python3.11                                         [.] PyType_IsSubtype
     0.16%  python   libcuda.so.610.57.04                               [.] 0x0000000000458d30
     0.16%  python   libcuda.so.610.57.04                               [.] 0x0000000000458d5a
     0.16%  python   libcuda.so.610.57.04                               [.] 0x00000000003ee7e4
     0.16%  python   libc10_cuda.so                                     [.] std::_Rb_tree<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*, c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*, std::_Identity<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*>, bool (*)(c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block const*, c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block const*), std::allocator<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*> >::erase(c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block* const&)
     0.16%  python   libcuda.so.610.57.04                               [.] 0x0000000000458d1a
     0.16%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] LONG_setitem
     0.16%  python   python3.11                                         [.] _PyObject_MakeTpCall
     0.15%  python   python3.11                                         [.] find_name_in_mro
